,Name,Menu_Item,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,Overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa.1,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
0,Donato's taco shop,California,1/18/2016,Miramar,6780 Miramar Rd,http://donatostacoshop.net/,3.5,4.2,,6.49,3.0,,,,,,3.0,5.0,3.0,3.5,4.0,4.0,4.0,4.0,4.0,3.8,,Scott,good fries: 4/5,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oscar's Mexican food,California,1/24/2016,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,3.3,,5.45,3.5,,,,,,2.0,3.5,2.5,2.5,2.0,4.0,3.5,2.5,5.0,3.0,,Scott,Fries: 3/5; too little meat,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oscar's Mexican food,Carnitas,1/24/2016,,,,,,,4.85,1.5,,,,,,3.0,2.0,2.5,3.0,4.5,4.0,3.0,3.0,5.0,3.0,,Emily,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oscar's Mexican food,Carne Asada,1/24/2016,,,,,,,5.25,2.0,,,,,,3.0,2.0,3.5,3.0,4.0,5.0,4.0,4.0,5.0,3.75,,Ricardo,Go to average burrito place like Rigoberto's in la jolla; Terrible tamales,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pollos Maria,California,1/27/2016,Carlsbad,3055 Harding St,http://pollosmaria.com/,4.0,3.8,x,6.59,4.0,,,,,,4.0,5.0,4.0,3.5,4.5,5.0,2.5,4.5,4.0,4.2,,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pollos Maria,Combo Chicken,1/28/2016,,,,,,,6.99,4.0,,,,,,3.0,4.0,5.0,3.5,2.5,2.5,2.5,4.0,1.0,3.2,,Emily,,,,,,x,x,,x,,x,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,
6,Nico's Taco Shop,California,1/30/2016,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,3.0,2.9,,7.19,1.5,,,,,,2.0,3.0,3.0,2.0,2.5,2.5,,2.0,3.0,2.6,,Scott,not fries. big potatoes,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Nico's Taco Shop,Carnitas,1/30/2016,,,,,,,6.99,4.0,,,,,,2.5,3.0,3.0,2.5,3.0,3.5,,2.5,3.0,3.0,,Emily,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Los Primos Mexican Food,Monster California,2/1/2016,UTC,7770 Regents Rd,http://www.primosmex.com/,3.0,3.7,x,9.25,3.5,,,,,,2.0,4.5,4.5,3.5,1.5,3.0,3.5,4.0,2.0,3.9,,Scott,this tasted really bad leftover. not included in rating,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,JV's Mexican Food,Carne Asada,2/6/2016,Morena,1112 Morena Blvd,http://jvsmexfood.com/,4.0,4.1,,6.25,3.5,,,,,,2.5,1.5,1.5,3.0,4.5,3.0,1.5,2.0,4.5,2.0,,Scott,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,JV's Mexican Food,Surf & Turf,2/6/2016,,,,,,,9.5,2.0,,,,,,2.5,2.5,2.75,2.5,2.5,2.0,0.5,3.0,3.5,2.5,,Emily,Huge. Shrimp is good. Meat is normal,,,x,,x,,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,
11,Tony's Fresh Mexican Food,Chile Verde Pork,2/11/2016,Miramar,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,3.0,4.1,x,6.95,2.0,,,,,,3.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,,Marc,,,,,x,,,x,,x,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,
12,Tony's Fresh Mexican Food,California,2/11/2016,,,,,,,6.25,3.5,,,,,,3.0,3.5,3.5,4.0,2.0,3.5,1.0,4.0,4.0,3.9,,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Tony's Fresh Mexican Food,Battered Fish,2/11/2016,,,,,,,6.99,3.0,,,,,,3.0,1.0,1.5,2.5,4.0,4.0,3.0,4.5,5.0,2.0,,Nicole,,,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,
14,Tony's Fresh Mexican Food,California,2/11/2016,,,,,,,6.25,3.0,,,,,,4.0,,2.0,2.0,4.0,4.0,,3.0,4.0,2.75,,Cris,"to-go, no guac or sour cream, fries are a small and underdone",,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Taco Stand,California,2/12/2016,La Jolla,621 Pearl St,http://letstaco.com/,4.5,4.4,,7.49,4.0,,,,,,3.0,2.5,4.0,4.0,3.5,2.5,3.5,5.0,4.5,4.2,,Emily,Horchata is very sweet,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Taco Stand,Surf And Turf,2/12/2016,,,,,,,8.49,2.5,,,,,,4.0,4.0,4.5,4.0,5.0,4.5,3.5,4.0,2.0,4.1,,Scott,,,,x,x,x,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,
17,Graciela's Taco Shop,Adobada,2/14/2016,Bonita,5047 Central Ave,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,4.0,4.5,,5.99,3.0,,,,,,4.0,4.0,3.0,3.5,4.0,4.5,4.0,4.0,4.5,4.0,,Scott,Salsa verde spicy,,,,,,,,,x,,,,,x,,,,,,,x,x,x,,,,,,,,,,,,,,
18,Graciela's Taco Shop,Barbacoa,2/14/2016,,,,,,,5.99,2.0,,,,,,3.5,4.0,3.5,,4.0,,4.0,4.0,1.5,4.0,,Emily,,,,x,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,
19,Rigoberto's Taco Shop La Jolla,California,2/17/2016,La Jolla,7345 La Jolla Blvd,https://www.yelp.com/biz/rigobertos-la-jolla-2,2.5,4.0,,6.4,4.0,,,,,,3.0,4.0,2.75,3.0,4.0,2.0,2.0,,5.0,3.0,,Leo,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Rigoberto's Taco Shop La Jolla,California,2/17/2016,,,,,,,6.4,2.5,,,,,,3.5,3.0,3.0,3.0,4.0,4.0,1.5,,4.5,3.5,,Scott,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Lolita's taco shop,2 In 1,2/24/2016,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,4.0,4.4,,8.75,3.5,,,,,,1.5,2.0,3.0,3.5,4.0,1.0,3.5,4.5,4.0,4.0,,Scott,Rolled tacos need more meat,,,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
22,Lolita's taco shop,Adobado,2/24/2016,,,,,,,5.5,2.5,,,,,,1.5,2.5,3.5,3.0,4.0,1.5,2.5,3.5,4.5,3.5,,Emily,Adobado reminds me of Indian food because of some mystery spice,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Taco Stand,California,2/28/2016,,,,,,,7.49,2.5,,,,,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.6,,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Taco Stand,California,2/28/2016,,,,,,,7.49,2.5,,,,,,3.0,2.0,4.5,4.0,4.0,3.5,3.0,4.5,4.5,4.5,,Emily,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Lola's 7 Up Market & Deli,Shredded Beef,2/29/2016,Carlsbad,3292 Roosevelt St,https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,4.5,4.9,,6.0,3.5,,,,,,2.5,2.5,3.0,4.0,4.0,4.0,3.0,3.5,1.5,3.8,,Emily,Food cooks fast but checking out is painfully slow,,,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
26,Lola's 7 Up Market & Deli,Carne Asada,2/29/2016,,,,,,,7.0,3.5,,,,,,2.5,3.0,3.0,4.0,2.0,2.0,3.0,3.5,3.5,3.0,,Scott,Beans are surprisingly good,,,x,x,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
27,Colima's Mexican Food,Hawaiian,3/3/2016,North park,2302 University Ave,https://www.yelp.com/biz/colimas-mexican-food-san-diego,4.0,4.2,,6.29,3.5,,,,,,3.5,5.0,4.0,4.0,3.5,4.5,3.5,3.5,4.0,4.0,,Scott,,,,,,,x,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,
28,Colima's Mexican Food,Bandido,3/3/2016,,,,,,,6.49,4.5,,,,,,3.0,5.0,4.0,4.0,5.0,4.0,2.5,4.5,4.0,4.0,,Sage,,,,x,,,,,,,,,,x,x,,,,,,x,,,,,,,x,,,,,,,,,,
29,Colima's Mexican Food,Bandido,3/3/2016,,,,,,,6.49,4.5,,,,,,3.0,4.5,3.5,3.5,3.5,3.0,3.0,3.0,4.0,3.0,,Eli,Promising start but finished poorly,,,x,,,,,,,,,,x,x,,,,,,x,,,,,,,x,,,,,,,,,,
30,Rigoberto's Taco Shop,Carne Asada,3/8/2016,Miramar,7094 Miramar Rd,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4.0,4.4,,6.6,3.5,,,,,,4.0,2.0,4.0,3.5,4.5,4.0,3.5,4.0,1.0,4.25,,Ricardo,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Rigoberto's Taco Shop,Campeon,3/8/2016,,,,,,,7.65,3.5,,,,,,3.0,1.5,3.0,3.0,2.5,3.0,3.5,2.5,4.0,3.4,,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Raul's Mexican food,Chile Verde Pork,3/11/2016,Encinitas,490 S Coast Hwy 101,https://www.yelp.com/biz/rauls-shack-encinitas,4.0,4.2,,5.0,3.5,,,,,,2.0,,2.5,2.0,2.0,2.0,2.0,2.5,,2.0,,Emily,,,,,,,,,,x,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,
33,Raul's Mexican food,Carne Asada,3/11/2016,,,,,,,5.0,1.0,,,,,,2.0,,1.0,1.0,0.5,1.0,1.5,1.0,4.0,1.0,,Scott,burrito was mostly tortilla,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,El Zarape,California,3/14/2016,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,4.0,4.4,x,6.25,0.5,,,,,,3.0,5.0,4.0,2.75,4.0,1.6,3.5,3.4,5.0,3.33333,,Kelsey,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,El Zarape,California Chicken,3/14/2016,,,,,,,6.25,3.0,,,,,,3.5,5.0,2.5,2.5,4.0,2.7,3.5,3.0,5.0,2.5,,Sage,,,,,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,El Zarape,Azteca,3/14/2016,,,,,,,6.25,3.75,,,,,,3.0,5.0,5.0,4.5,4.0,4.0,1.5,3.0,5.0,3.0,,Jake,,,,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,
37,El Zarape,Lobster,3/14/2016,,,,,,,9.5,3.0,,,,,,3.0,3.0,4.0,3.0,3.5,4.5,3.5,3.0,3.5,3.2,,Scott,quite small,,,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,x,,,,,,,,
38,El Indio,California,3/17/2016,San Diego,3695 India St,http://elindiosandiego.com/,3.5,3.9,,7.84,4.0,,,,,,4.0,4.0,3.5,4.0,4.5,4.0,3.5,3.5,4.5,4.0,,Scott,,,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Taco stand,Carne Asada,3/18/2016,,,,,,,7.89,1.0,,,,,,3.0,3.5,4.5,4.0,5.0,5.0,4.5,3.5,5.0,4.2,,Scott,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Taco stand,Al Pastor,3/18/2016,,,,,,,6.99,4.0,,,,,,4.0,3.0,3.5,3.0,4.0,5.0,3.0,3.5,5.0,3.5,,Emily,Kind of dry ,,,,,,,,,x,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,
41,"Qdoba Mexican Grill, Seatac Airport",Custom,3/19/2016,Seattle,Airport,,,,,9.5,5.0,,,,,,3.0,3.0,3.5,3.0,4.0,1.0,3.0,2.5,5.0,3.0,,Sage,,x,,,x,x,x,,,x,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,
42,Cancun Mexican & Seafood,California,3/20/2016,Encinitas,1766 N Coast Hwy,http://cancunmexicanandseafood.com/,4.5,4.1,x,6.99,4.0,,,,,,4.0,4.5,4.0,3.5,4.0,2.5,2.0,4.0,4.0,4.2,,Scott,A bit small,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Cancun Mexican & Seafood,Machaca,3/20/2016,,,,,,,5.99,3.0,,,,,,4.0,3.5,3.5,4.0,3.5,3.5,2.0,3.5,0.5,3.9,,Emily,So hot! Egg is surprisingly good,,,x,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,x,,,,,,
44,Vallarta express,Quesaburro,3/21/2016,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,3.5,4.0,,6.95,3.5,,,,,,3.0,4.0,3.5,4.0,4.0,4.0,3.5,4.5,4.5,4.1,,Scott,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Vallarta express,Philly,3/21/2016,,,,,,,6.95,4.0,,,,,,3.0,4.5,4.0,3.0,3.0,2.0,4.0,2.0,4.5,3.0,,Torben,Guac chips have lots of cheese,,,x,,,x,,,,,,,,,,,x,,,,x,,,,,,,,,,,x,x,,,,
46,Vallarta express,Carne Asada,3/21/2016,,,,,,,6.5,3.5,,,,,,3.75,5.0,3.0,3.0,4.5,4.5,3.5,3.0,4.5,3.25,,Ricardo,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Vallarta express,Quesa,3/21/2016,,,,,,,6.95,4.5,,,,,,2.0,5.0,3.5,4.0,2.5,5.0,3.5,2.5,4.0,3.75,,Alex,Heart-stopping amount of cheese. Second tortilla of cheese,,,x,x,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Vallarta express,Surf And Turf,3/21/2016,,,,,,,7.65,3.0,,,,,,2.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.5,,Richard,Hot carrots,,,x,,x,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,
49,Vallarta express,Mahi,3/21/2016,,,,,,,7.3,3.0,,,,,,3.0,4.5,3.5,3.0,3.0,2.0,3.5,2.5,4.5,3.5,,Tom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Mikes Taco Club,California,3/23/2016,Ocean Beach,5060 Newport Ave,http://www.mikestacoclub.com/menu/,4.5,4.9,,8.59,2.5,,,,,,4.0,4.5,3.5,5.0,2.5,2.0,4.0,4.5,4.0,4.3,,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Mikes Taco Club,California,3/23/2016,,,,,,,8.59,3.5,,,,,,4.5,4.5,4.0,4.5,4.0,4.0,4.0,4.5,5.0,4.5,,Brad,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,La Perla Cocina,Addiction,3/30/2016,Pacific Beach,745 Emerald St,https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,4.5,4.7,,7.99,3.5,,,,,,4.0,4.0,2.0,3.0,1.5,3.0,2.5,1.0,3.0,2.5,,Scott,Bland,,,x,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,
53,La Perla Cocina,Oaxacalifornia,3/30/2016,,,,,,,9.99,3.0,,,,,,4.0,4.5,3.5,4.0,3.0,2.0,2.5,3.5,4.0,4.0,,Emily,Fries are good,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Porkyland ,Deborah'S Special,4/2/2016,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,4.0,4.4,x,8.25,3.5,,,,,,4.0,4.5,3.5,2.5,4.5,4.5,4.0,3.5,5.0,4.0,,Scott,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
55,Porkyland ,Chicken Nopalito,4/2/2016,,,,,,,7.95,2.5,,,,,,2.5,2.5,4.0,3.5,3.0,2.5,3.0,3.0,5.0,3.3,,Emily,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,
56,Porkyland ,Chicken Nopalito,4/2/2016,,,,,,,7.95,2.0,,,,,,4.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,,Tara,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,
57,Porkyland ,California,4/2/2016,,,,,,,8.75,3.0,,,,,,4.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,5.0,4.0,,Andy,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Rigoberto's Taco Shop,California,4/3/2016,,,,,,,6.6,3.0,,,,,,3.0,4.5,4.0,4.5,4.0,4.5,4.5,5.0,4.5,4.5,,Scott,,,,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
59,Rigoberto's Taco Shop,Adobada,4/3/2016,,,,,,,6.6,3.0,,,,,,4.0,5.0,5.0,5.0,5.0,4.0,,4.5,5.0,4.5,,Tara,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Rigoberto's Taco Shop,California,4/7/2016,,,,,,,6.6,3.0,,,,,,3.0,5.0,3.5,3.0,4.5,2.5,3.0,4.0,4.0,3.6,,Scott,Too much enchilada sauce this time,,,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
61,Rigoberto's Taco Shop,Surf & Turf,4/7/2016,,,,,,,7.45,3.5,,,,,,3.0,5.0,3.5,2.5,3.0,2.5,3.75,3.0,4.0,3.0,,Bankole,Would have enjoyed it more if wasn't rating; shrimp better than meat. Quality of the shrimp really improves the burrito. Well cooked and fresh. Shrimp could have had more flavor,,,x,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
62,Rudy's Taco Shop,Chicken,4/9/2016,Solana Beach,524 Stevens Ave,http://www.rudystacoshop.com/,4.0,4.3,,6.6,3.5,,,,,,3.5,3.0,4.0,4.5,3.0,1.0,3.0,4.0,0.5,2.8,No,Scott,"Salsa Fresca is good, way too small",,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Rudy's Taco Shop,Carnitas,4/9/2016,,,,,,,6.6,3.0,,,,,,3.0,2.5,3.0,4.0,2.0,1.0,3.0,3.0,5.0,3.0,No,Emily,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Taco stand,Carne Asada,4/14/2016,,,,,,,7.89,3.5,,,,,,3.0,2.0,4.5,4.0,4.0,1.5,4.5,4.5,4.5,4.4,Yes,Scott,Too small ,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Taco stand,Carne Asada,4/14/2016,,,,,,,7.89,2.0,,,,,,3.0,2.5,4.5,3.5,4.5,3.0,4.0,3.5,5.0,3.5,Yes,Richard,A little small. No rice and beans or cheese or sour cream,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,California Burritos,California Everything,4/15/2016,Linda Vista,7754 Starling Dr,https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,x,6.25,4.0,,,,,,4.5,4.5,2.5,3.5,3.5,3.5,3.0,4.0,5.0,4.1,Yes,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,California Burritos,California Everything,4/15/2016,,,,,,,6.25,3.5,,,,,,4.0,4.0,4.0,2.5,3.0,3.5,4.0,4.0,5.0,4.0,No,Brent,Brent doesn't like fries in his burrito,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,California Burritos,California Everything,4/15/2016,,,,,,,6.25,4.0,,,,,,4.0,4.5,4.5,5.0,5.0,5.0,4.5,5.0,5.0,4.6,Yes,Luis,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,California Burritos,Chile Relleno And Carnitas,4/15/2016,,,,,,,6.5,5.0,,,,,,4.5,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.7,Yes,Karl,,x,,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,
70,California Burritos,California (Only Cheese),4/15/2016,,,,,,,6.25,2.0,,,,,,5.0,5.0,5.0,4.0,4.0,2.0,,5.0,5.0,5.0,Yes,Kalen,,x,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Vallarta express,Fish,4/15/2016,,,,,,,6.5,2.5,,,,,,3.0,,3.5,4.0,4.0,3.0,,4.0,1.5,3.5,,Erin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Vallarta express,California,4/15/2016,,,,,,,6.65,3.5,,,,,,3.5,,3.5,3.5,4.5,3.5,3.5,4.0,4.0,4.0,,Ricardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Jorge's Mexicatessen,California,4/24/2016,Encinitas ,267 N El Camino Real,https://www.yelp.com/biz/jorges-mexicatessen-encinitas,4.0,4.5,,5.95,3.5,,,20.0,22.0,0.77,2.5,2.5,3.5,4.0,3.0,4.5,4.0,4.5,4.5,3.8,Yes,Scott,"Cheese should be melted, potatoes are very good",,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Jorge's Mexicatessen,Chimichanga Beef,4/24/2016,,,,,,,5.5,3.0,,,,,,2.0,4.0,3.0,3.0,3.0,4.0,3.5,3.5,,3.0,No,Emily,,,,X,X,X,X,,X,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,
