,Name,Menu_Item,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,Overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa.1,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
75,Senor Grubby's,California,4/24/2016,Carlsbad,377 Carlsbad Village Dr,eatgrubbys.com,4.0,4.1,,9.0,2.0,,,19.0,21.5,0.7,2.0,3.5,3.0,1.5,1.0,1.0,2.5,1.5,3.5,1.5,No,Scott,"The ends of the burrito were decent, but the middle was terrible without much meat",,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Senor Grubby's,Pastor,4/24/2016,,,,,,,9.0,2.0,,,18.5,23.0,0.78,2.5,2.5,1.5,2.5,1.0,2.0,2.5,2.0,5.0,1.8,No,Emily,,,,,,x,,,,x,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,
77,Taco stand,California,4/25/2026,,,,,,,8.0,4.0,,,21.59,,,4.5,5.0,5.0,5.0,4.5,5.0,3.0,5.0,5.0,4.9,Yes,Sage,A wonderful eating experience. best California burrito I've ever had by far. ,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Mi Asador Mexican & Seafood ,California,4/27/2016,Oceanside,4750 Oceanside Blvd,https://sites.google.com/site/miasador/,4.5,4.4,x,6.89,3.0,,,25.0,22.0,0.96,3.0,2.5,3.0,2.5,2.5,2.0,3.5,3.0,4.0,3.0,No,Scott,,,,X,,X,x,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Mi Asador Mexican & Seafood ,El Hawaiiano,4/27/2016,,,,,,,6.39,3.0,,,23.0,22.5,0.93,4.0,3.0,2.5,3.5,3.0,3.0,3.5,4.0,3.5,3.5,Yes,Emily,Pineapple is really good,,,X,,X,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
80,Sotos Mexican Food,California,5/4/2016,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,4.5,4.6,x,6.75,3.0,,,22.5,23.0,0.95,4.5,4.0,3.0,4.0,1.0,3.0,4.5,3.5,4.5,3.5,Yes,Scott,Fries are good. Too little meat,,,X,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Sotos Mexican Food,Pastor,5/4/2016,,,,,,,5.99,2.0,,,21.0,22.0,0.81,4.0,2.0,2.5,4.0,4.0,3.0,3.5,4.0,5.0,3.2,No,Emily,Free lime. Ingredients chopped finely,,,,,X,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
82,Taco stand,California,5/6/2016,,,,,,,7.49,3.5,,,19.0,22.0,0.73,3.5,4.0,4.0,4.0,3.5,3.0,4.0,4.5,3.0,4.2,Yes,Scott,Less meat than usual,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Taco stand,California,5/6/2016,,,,,,,7.49,4.0,,,16.5,25.0,0.82,4.0,3.5,4.0,4.0,4.5,5.0,4.5,5.0,4.5,4.5,Yes,Ricardo,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Taco stand,California,5/6/2016,,,,,,,7.49,4.0,,,17.0,25.5,0.88,3.0,3.0,4.0,3.5,3.5,4.0,3.5,4.0,2.5,3.7,Yes,Luis,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Taco stand,California,5/6/2016,,,,,,,7.49,3.0,,,17.7,21.5,0.65,4.0,2.0,5.0,5.0,1.0,3.0,5.0,4.0,3.0,4.0,Yes,Elynn,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Taco stand,California,5/6/2016,,,,,,,7.49,1.0,,,20.0,23.5,0.88,4.0,3.0,4.0,4.5,5.0,4.5,3.0,4.5,4.0,4.0,Yes,Sandra,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Taco stand,Carne Asada,5/6/2016,,,,,,,7.89,4.0,,,18.0,25.0,0.9,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.5,4.0,3.5,Yes,Brent,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Taco stand,Shrimp,5/6/2016,,,,,,,8.95,5.0,,,17.0,22.0,0.65,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,Yes,Sankeerth,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Vallarta express,California,5/9/2016,,,,,,,6.95,4.0,,,21.0,23.0,0.88,3.0,3.5,2.0,3.5,3.0,2.5,2.5,2.5,2.0,2.9,No,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Lolita's taco shop,California,5/12/2016,,,,,,,7.0,3.5,,,17.5,24.5,0.84,3.0,5.0,3.0,3.5,3.0,1.5,3.0,3.0,4.0,3.3,No,Scott,,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Lolita's taco shop,2 In 1,5/12/2016,,,,,,,8.75,3.0,,,19.0,21.5,0.7,3.0,4.0,2.7,4.7,3.0,2.4,2.0,3.7,4.5,3.7,Yes,Bankole,,,,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
92,Lolita's taco shop,2 In 1,5/12/2016,,,,,,,8.75,4.0,,,17.78,22.225,0.7,4.5,3.8,3.8,4.5,3.4,1.5,3.0,3.8,4.0,3.8,Yes,Katie,,,,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
93,Rigoberto's Taco Shop,El Rusio,5/13/2016,,,,,,,6.65,4.0,,,21.5,23.0,0.91,3.0,4.5,2.5,2.0,3.5,5.0,1.5,2.0,1.5,2.5,No,Scott,Fries are terrible. Burrito leaked,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Rigoberto's Taco Shop,Carne Asada,5/13/2016,,,,,,,6.6,4.0,,,22.0,22.0,0.85,4.0,3.5,4.0,4.0,3.5,4.0,4.0,4.5,4.5,4.0,Yes,Ricardo,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Rigoberto's Taco Shop,Carne Asada,5/13/2016,,,,,,,6.6,4.5,,,23.0,22.0,0.89,4.0,3.0,3.0,3.0,3.5,3.0,,3.5,4.5,3.0,Yes,Erin,Meat was too salty,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Rigoberto's Taco Shop,Carnitas,5/13/2016,,,,,,,7.5,4.0,,,23.5,22.5,0.95,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,Yes,Elynn,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Rigoberto's Taco Shop,Bacon Breakfast,5/13/2016,,,,,,,6.25,3.5,,,22.0,22.0,0.85,4.0,3.5,4.0,4.0,5.0,5.0,,5.0,4.5,4.2,Yes,Luis,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,
98,Rigoberto's Taco Shop,Chile Relleno,5/13/2016,,,,,,,6.6,5.0,,,23.0,24.0,1.05,5.0,4.0,,5.0,5.0,4.0,,5.0,3.0,4.5,Yes,Matteo,,x,,,,,x,,x,,,,,,,x,,,,,x,,,,,,,x,,,,,,,,,,
99,Rigoberto's Taco Shop,Fish,5/13/2016,,,,,,,6.0,2.0,,,23.0,23.5,1.01,5.0,4.5,5.0,5.0,5.0,5.0,,5.0,4.0,5.0,Yes,Aga,,x,,,,,,,,,,,x,,,x,x,,,,,,x,x,,,,,,,,,,,,,,
100,Karina's Taco Shop ,Bomb,5/15/2016,Encinitas ,916 N Coast Hwy 101,https://www.yelp.com/biz/karinas-taco-shop-encinitas,4.0,4.2,,7.99,3.0,,,25.5,23.0,1.07,4.0,4.0,4.0,3.5,2.5,3.5,4.0,3.5,2.5,3.7,Yes,Scott,,,,X,,X,X,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
101,Karina's Taco Shop ,California,5/15/2016,,,,,,,6.99,2.5,,,21.5,22.125,0.84,3.5,4.0,3.5,3.5,3.0,1.0,4.0,4.0,4.5,3.8,Yes,Emily,,,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Juanita's Taco Shop,California,5/18/2016,Encinitas ,290 N Coast Hwy 101,https://www.yelp.com/biz/juanitas-taco-shop-encinitas,4.0,4.5,,5.55,3.5,,,17.5,23.0,0.74,4.0,4.5,3.0,3.0,5.0,3.0,4.0,3.0,5.0,3.5,Yes,Scott,,,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Juanita's Taco Shop,Arizona,5/18/2016,,,,,,,5.55,2.5,,,20.5,22.5,0.83,4.5,4.0,3.5,4.0,3.5,4.0,3.0,4.0,5.0,3.9,Yes,Emily,,,,X,X,X,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Goody's,Custom,5/20/2016,La Jolla,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,3.5,4.1,,7.25,3.5,,,18.5,22.5,0.75,1.5,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.8,No,Scott,Grocery store tortilla; cold guac,,,x,x,x,x,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,
105,Pedro's Tacos,California Burrito,5/22/2016,Oceanside,,,,,,6.5,5.0,,,,,,3.0,,4.0,5.0,4.0,4.0,,5.0,5.0,5.0,Yes,Erika N,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Los Primos Mexican Food,619 Burrito Original,5/16/2016,,,,,,x,11.75,4.0,,,,,,3.0,,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,Yes,Sai G,,x,,x,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
107,Kotija Jr.,Fish,5/20/2016,,,,,,,6.5,4.0,,,,,,3.0,,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,Yes,Jonathan G,Great fish burrito. Not fishy and has great crunch from both cabbage and fried fish. Super generous with amount of fish given,x,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,
108,La Perla Cocina,California,5/16/2016,,,,,,,6.5,5.0,,,,,,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,Yes,Laya,A LOT of carne asada!,x,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Goody's,Custom,5/16/2011,La Jolla,,,,,,8.0,4.0,,,,,,3.0,,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,No,Albert N,"The price has gone up for the past two years. I would probably rate this lower because of it, but my scores were on raw taste only.",x,,x,x,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
110,Goody's,Custom,5/20/2016,La Jolla,,,,,,8.0,3.0,,,,,,3.0,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,No,Brittany T,It's gone downhill since 2013. Expensive and only ate it because there's nothing else around. closes early. skimping on the portions.,x,,,,,x,,x,,x,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,
111,Chipotle,Custom,5/22/2016,,,,,,,7.0,3.5,,,,,,3.0,,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,Yes,Gurkirat S,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Rigoberto's Taco Shop,Al Pastor,4/20/2015,,,,,,,,4.0,,,,,,5.0,,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.8,Yes,Erica,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Taco Surf PB,California,5/23/2016,Pacific Beach,4657 Mission Blvd,https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,4.0,4.6,,7.14,3.5,,,20.0,23.0,0.84,4.0,2.0,4.0,5.0,4.0,2.0,4.0,4.5,5.0,4.4,Yes,Scott,not too much rice,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
114,Taco Surf PB,California,5/23/2016,,,,,,,7.14,5.0,,,20.5,24.0,0.94,4.0,2.0,4.5,4.0,3.5,2.0,3.0,4.0,4.0,4.1,Yes,Sage,hashbrowns instead of fries; anterior-posterior uniformity is good but medial-lateral is bad,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
115,Taco Surf PB,Carne Asada,5/23/2016,,,,,,,6.02,3.2,,,19.5,20.5,0.65,4.5,2.0,3.3,3.4,4.5,4.5,3.8,3.7,5.0,3.7,Yes,Dan,one hot side and one cold side from the guac,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Roberto's Very Mexican Food,Chicken Asada,5/24/2016,Del Mar,2206 Carmel Valley Road,https://www.yelp.com/biz/robertos-very-mexican-food-del-mar-2,3.5,3.9,,6.5,2.0,,,18.5,21.5,0.68,1.5,4.0,2.0,2.0,4.5,1.0,1.0,2.0,5.0,1.5,No,Scott,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Roberto's Very Mexican Food,Carnitas,5/24/2016,,,,,,,5.4,3.0,,,18.0,20.0,0.57,2.0,3.5,4.0,2.5,3.5,1.5,1.5,3.0,5.0,2.7,No,Emily,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Netos Mexican Food,California,5/26/2016,San Marcos,325 S Rancho Santa Fe Rd,https://www.yelp.com/biz/netos-mexican-food-san-marcos,4.5,4.1,x,5.99,4.0,,,20.5,23.5,0.9,4.5,5.0,3.0,4.0,2.0,2.0,2.0,3.75,4.0,3.2,Yes,Scott,not 100% certain about the ingredients (was there guac and pico?),,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Netos Mexican Food,Carne Adobada,5/26/2016,,,,,,,5.5,3.0,,,20.75,23.5,0.91,3.5,4.0,3.5,3.0,3.5,3.5,2.5,3.0,2.5,3.0,Yes,Emily,"Best free chips, novel burrito",,,x,x,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
120,Lolita's Taco shop,Carne Asada,5/27/2016,,,,,,,6.25,4.0,,,15.0,20.5,0.5,1.5,2.5,3.0,4.5,4.0,2.0,2.75,3.75,3.0,2.6,No,Scott,Way too small,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Lolita's Taco shop,Shrimp,5/27/2016,,,,,,,8.95,3.5,,,18.5,25.0,0.92,3.0,3.0,4.0,4.0,3.5,3.5,2.5,4.0,0.5,3.0,Yes,Emily,,,,,X,,,,,,,X,,,,X,,,,,X,,,,,,,,,,,,,,,,,
122,Lolita's Taco shop,Bean And Cheese,5/27/2016,,,,,,,3.5,1.0,,,16.0,20.0,0.51,3.5,4.5,,3.0,,4.0,3.0,2.5,4.0,2.7,No,Scott,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
123,Pokirrito,Pokirrito Classic,5/29/2016,Kearny Mesa,4646 Convoy St,https://www.yelp.com/biz/pokirrito-san-diego-2,4.0,4.3,x,11.95,4.0,,,18.0,23.5,0.79,3.5,4.0,4.0,4.5,2.5,2.5,3.0,4.0,2.0,4.2,Yes,Scott,Lotus chips add good crunch,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
124,Pokirrito,Mauna Lani,5/29/2016,,,,,,,11.95,3.0,,,20.0,22.75,0.82,3.0,4.0,4.0,4.0,3.0,2.5,4.5,4.0,1.5,4.0,Yes,Emily,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
125,Los Primos Mexican Food,California,5/29/2016,,,,,,,7.5,4.0,,,,,,3.0,5.0,3.5,3.5,4.0,4.0,2.5,3.0,5.0,3.5,Yes,Sage,,,,,x,,x,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,
126,El Nopalito ,Especial,6/1/2016,Encinitas,582 Santa Fe Dr,https://www.yelp.com/biz/el-nopalito-encinitas,4.0,4.0,x,4.87,2.0,,,19.0,23.5,0.83,3.0,4.0,1.5,2.0,3.0,5.0,3.0,2.5,5.0,2.6,No,Scott,"It's pretty good for what it is, but just not the best ingredients for a burrito. also Few white people",,,X,,X,X,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
127,El Nopalito ,Ranchero Steak,6/1/2016,,,,,,,4.87,2.5,,,19.5,20.5,0.65,3.5,3.0,2.5,2.4,3.5,4.5,3.0,3.0,1.5,2.6,No,Emily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Goody's,Carne Asada,5/21/2016,,,,,,,6.25,4.5,,,,,,3.5,3.0,2.0,2.0,2.5,3.0,2.0,1.5,1.0,2.0,No,Kevin,"Sucks, but it is okay.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Saguaro's ,Vegetarian,6/20/2016,,,,,,,5.25,4.0,,,,,,4.0,5.0,,5.0,4.0,4.0,5.0,5.0,5.0,4.8,Yes,Brian,"Great rice and beans burrito, doesn't come with cheese or sour cream. ",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Colima's ,Colimas Burrito,5/31/2016,,,,,,x,8.25,4.0,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,4.5,4.9,Yes,Brian,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"Alberto's 623 N Escondido Blvd, Escondido, CA 92025",Carne Asada,5/5/2016,,,,,,,4.59,4.0,,,17.0,21.0,0.6,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.8,Yes,Chuck K,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,MXN on Washington,Bean And Rice Grande Size,5/20/2016,,,,,,,2.99,3.0,,,,,,4.5,3.5,,4.5,,3.5,3.0,4.0,4.0,4.5,Yes,Sarah,Got green and hot salsa put inside the burrito-drive thru,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,El Zarape,Surf And Turf,5/19/2016,,,,,,,7.0,2.5,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,Damien B,Get the green sauce,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Lolita's,Bean And Cheese,5/19/2016,,,,,,,,4.3,,,,,,3.8,4.0,,4.7,,5.0,,4.7,5.0,4.8,Yes,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Humbertos,Pollo California,5/27/2016,,,,,,,6.0,5.0,,,,,,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,Yes,Logan,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Chili Peppers,Surf & Turf,5/28/2016,,,,,,,9.43,,,,,,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,Chris H,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Los Primos Mexican Food,Monster California,6/3/2016,,,,,,,9.25,3.5,,,25.5,24.0,1.17,2.0,1.0,3.0,3.0,1.0,,3.0,2.0,4.0,2.3,No,Scott,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Los Primos Mexican Food,California,6/3/2016,,,,,,,7.0,3.0,,,20.0,22.0,0.77,4.5,4.0,3.5,4.0,1.0,1.0,2.0,2.0,4.0,2.5,No,Ricardo,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Los Primos Mexican Food,California Breakfast,6/3/2016,,,,,,,6.25,2.5,,,18.5,22.5,0.75,3.0,4.0,3.0,2.0,1.5,1.0,3.0,1.5,3.0,2.0,No,Erin,,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
140,Los Primos Mexican Food,Baja Monster,6/3/2016,,,,,,,6.0,4.0,,,,,,3.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,No,Elynn,,,,,x,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
141,Los Primos Mexican Food,Baja Monster,6/3/2016,,,,,,,6.0,3.0,,,,,,4.0,3.5,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.8,Yes,Rob,,,,,x,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
142,Los Primos Mexican Food,Carnitas,6/3/2016,,,,,,,6.35,4.5,,,18.0,20.5,0.6,4.0,4.0,2.5,2.0,3.0,2.0,2.0,2.0,3.0,2.0,No,Matteo,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Los tacos ,Local,6/5/2016,Oceanside,2183 Vista Way,https://www.yelp.com/biz/los-tacos-oceanside,4.0,4.2,,7.9,3.5,,,20.5,21.5,0.75,3.5,4.5,4.5,4.0,1.5,1.5,3.0,4.0,5.0,3.5,Yes,Scott,,,,,X,,X,X,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
144,Los tacos ,Fusion,6/5/2016,,,,,,,8.5,3.5,,,18.5,21.0,0.65,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.5,4.5,4.2,Yes,Emily,,,,X,,X,X,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
145,Taco Stand,Al Pastor,6/6/2016,,,,,,,6.99,3.5,,,18.5,21.0,0.65,4.0,3.5,4.0,3.5,4.0,5.0,2.5,4.0,4.5,3.9,Yes,Scott,,,,,,,,,,x,,,,,,,,,,,x,,x,x,,x,,,,,,,,,,,,
146,Taco Stand,Al Pastor,6/6/2016,,,,,,,6.99,5.0,,,,,,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.5,Yes,Brad P,,,,,,,,,,x,,,,,,,,,,,x,,x,x,,x,,,,,,,,,,,,
147,Albertacos,California,6/8/2016,San Marcos,500 W San Marcos Blvd # 103,https://www.yelp.com/biz/albertacos-san-marcos,3.5,3.9,,5.7,3.5,,,20.5,21.5,0.75,3.5,3.0,3.0,4.0,1.5,4.0,4.0,4.0,4.0,3.7,Yes,Scott,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Albertacos,Carne Asada,6/8/2016,,,,,,,5.25,4.0,,,21.0,21.0,0.74,3.5,3.0,2.8,3.5,4.0,4.0,4.0,3.5,5.0,3.2,Yes,Emily,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,El Rey Moro,California Surf,6/9/2016,Clairemont,4471 Clairemont Mesa Blvd,https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,4.0,3.8,,9.19,2.8,,,20.5,23.5,0.9,3.5,4.5,4.0,3.5,5.0,4.5,3.0,3.5,5.0,4.0,Yes,Scott,shrimp is really good. too much chipotle sauce,,,X,,X,X,X,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,
150,Tacos por favor,Carne Asada,6/11/2016,Santa Monica,1408 Olympic Blvd,https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.0,4.1,x,7.85,3.0,,,16.5,20.5,0.55,3.0,4.5,4.5,3.5,3.5,3.5,1.0,4.0,1.0,3.5,Yes,Scott,,,x,X,X,X,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
