,Name,Menu_Item,Cost
0,Albertacos,California,5.7
1,Albertacos,Carne Asada,5.25
2,"Alberto's 623 N Escondido Blvd, Escondido, CA 92025",Carne Asada,4.59
3,Burrito Box,Steak With Guacamole,11.5
4,Burrito Factory,Steak Everything,7.35
5,Burros and Fries,California,7.19
6,Burros and Fries,Carne Asada,6.89
7,Burros and Fries,Shrimp California,6.99
8,Caliente Mexican Food,California,6.47
9,Caliente Mexican Food,Carne Asada,5.56
10,Caliente Mexican Food,Fried Fish,5.56
11,California Burrito Company,California,5.5
12,California Burrito Company,Dave'S California,6.5
13,California Burrito Company,Fajitas,6.5
14,California Burritos,California (Only Cheese),6.25
15,California Burritos,California Everything,6.95
16,California Burritos,Carne Asada Everything,6.25
17,California Burritos,Carnitas,5.5
18,California Burritos,Chile Relleno And Carnitas,6.5
19,California Burritos,Surf & Turf,7.0
20,California Burritos,California Everything,6.5
21,California Burritos,California Everything Mini,4.75
22,California Burritos,Surf & Turf,6.75
23,Cancun Mexican & Seafood,Adobada,6.45
24,Cancun Mexican & Seafood,California,6.99
25,Cancun Mexican & Seafood,Machaca,5.99
26,Carmen's Mexican Food,Adobada,6.5
27,Carmen's Mexican Food,Carne Asada,6.5
28,Chili Peppers,Surf & Turf,9.43
29,Chipotle,Carnitas,7.15
30,Chipotle,Custom,7.0
31,Colima's Mexican Food,Colimas Burrito,8.25
32,Colima's Mexican Food,Bandido,6.49
33,Colima's Mexican Food,Hawaiian,6.29
34,Cortez Mexican Food,California,6.25
35,Cotixan,California,6.9
36,Cotixan,California,7.19
37,Don Carlos Taco Shop,California,7.75
38,Donato's taco shop,Al Pastor,5.99
39,Donato's taco shop,Carne Asada,5.99
40,Donato's taco shop,California,6.49
41,El Cuervo,California,6.95
42,El Cuervo,Pollo Adobado,5.95
43,El Dorado Mexican Food,California,6.94
44,El Dorado Mexican Food,California,7.4
45,El Dorado Mexican Food,Super,6.94
46,El Indio,California,7.84
47,El Nopalito,Especial,4.87
48,El Nopalito,Ranchero Steak,4.87
49,El Pollo Loco,Chicken Avocado,5.99
50,El Portal Fresh Mexican Grill,Carnitas,6.7
51,El Portal Fresh Mexican Grill,Mahi,7.35
52,El Pueblo Mexican Food,California,4.99
53,El Rey Moro,California Surf,9.19
54,El Rey Moro,Hashbrown,6.47
55,El Torrito Foods,Adobada,3.99
56,El Torrito Foods,Asada,5.49
57,El Zarape,Azteca,6.25
58,El Zarape,California,6.25
59,El Zarape,California Chicken,6.25
60,El Zarape,Carne Asada Supreme,6.25
61,El Zarape,Lobster,9.5
62,El Zarape,Surf And Turf,7.0
63,Famoso Mexican Street Food,Cali Diablo,10.5
64,Filiberto's,Adobada,6.25
65,Filiberto's,California,6.25
66,Gloria's Taco Shop,Cabeza,5.49
67,Gloria's Taco Shop,California,5.65
68,Goody's,Carne Asada,6.25
69,Goody's,Custom,7.25
70,Goody's,Custom,8.0
71,Graciela's Taco Shop,Adobada,5.99
72,Graciela's Taco Shop,Barbacoa,5.99
73,Humbertos,Pollo California,6.0
74,JV's Mexican Food,Carne Asada,6.25
75,JV's Mexican Food,Surf & Turf,9.5
76,Jorge's Mexicatessen,California,5.95
77,Jorge's Mexicatessen,Chimichanga Beef,5.5
78,Jose's Taco,California,6.1
79,Juanita's Taco Shop,Arizona,5.55
80,Juanita's Taco Shop,California,5.55
81,Karina's Taco Shop,Bomb,7.99
82,Karina's Taco Shop ,California,6.99
83,King Burrito,Adobaa,4.99
84,King Burrito,California,5.29
85,Kotija Jr,California,6.99
86,Kotija Jr,Steak Fajitas,7.1
87,Kotija Jr,Fish,6.5
88,La Morena Taco Shop and Seafood,California,6.35
89,La Perla Cocina,Addiction,7.99
90,La Perla Cocina,California,6.5
91,La Perla Cocina,Oaxacalifornia,9.99
92,Lola's 7 Up Market & Deli,Carne Asada,7.0
93,Lola's 7 Up Market & Deli,Shredded Beef,6.0
94,Lolita's taco shop,Bean And Cheese,3.65
95,Lolita's taco shop,California,7.0
96,Lolita's taco shop,Mixed,8.25
97,Lolita's taco shop,Bean And Cheese,3.5
98,Lolita's taco shop,Carne Asada,6.25
99,Lolita's taco shop,Shrimp,8.95
100,Lolita's taco shop,2 In 1,8.75
101,Lolita's taco shop,Adobado,5.5
102,Los Cabos,Al Pastor,5.69
103,Los Cabos,California,5.99
104,Los Panchos Taco Shop,Super California,7.25
105,Los Panchos Taco Shop,California,6.25
106,Los Panchos Taco Shop,Tijuana,7.0
107,Los Primos Mexican Food,619 Burrito Original,11.75
108,Los Primos Mexican Food,Adobada,6.25
109,Los Primos Mexican Food,Baja Monster,6.0
110,Los Primos Mexican Food,California,7.5
111,Los Primos Mexican Food,California Breakfast,6.25
112,Los Primos Mexican Food,Carne Asada,7.0
113,Los Primos Mexican Food,Carnitas,6.35
114,Los Primos Mexican Food,Monster California,9.25
115,Los Primos Mexican Food,Surf & Turf,7.0
116,Los Tacos,California,7.9
117,Los Tacos,Fusion,8.5
118,Los Tacos,Local,7.9
119,Los Tacos,Local,8.5
120,Los Tacos 2,Al Pastor Tradicional,8.25
121,Los Tacos 2,Cheese Steak,9.95
122,Los Tacos 2,Local,8.5
123,Los palmitos,California,7.1
124,Los palmitos,Surf & Turf,8.25
125,Los tacos,Fusion,8.5
126,Los tacos,Local,7.9
127,Lourdes,California,6.35
128,Lourdes,Carnitas,7.35
129,Lucha Libre North Park,Bean And Cheese,3.75
130,Lucha Libre North Park,California - Chicken,7.5
131,Lucha Libre North Park,California - Pork Adobada,7.5
132,Lucha Libre North Park,California - Steak,7.5
133,Lucha Libre North Park,Holy Moly,7.5
134,Lucha Libre North Park,Nutty,7.5
135,Lucha Libre North Park,Surf & Turf,8.25
136,Lucha Libre North Park,Surfin California,8.25
137,Lucha Libre North Park,Veg Out,6.95
138,Lucha Libre North Park,Veggie,5.25
139,Lupe's Taco Shop,California,7.49
140,Lupe's Taco Shop,Hot Cheetos,7.29
141,Lupe's Taco Shop,Spicy A La Diabla,7.49
142,Lupe's Taco Shop,Surfin California,7.89
143,Lupe's Taco Shop,Tgunz,10.0
144,MXN on Washington,Bean And Rice Grande Size,2.99
145,Matador Mexican Food,Carne Asada,6.6
146,Matador Mexican Food,Carnitas,6.6
147,Mi Asador Mexican & Seafood,California,6.89
148,Mi Asador Mexican & Seafood,El Hawaiiano,6.39
149,Mikes Taco Club,California,8.59
150,Mr. Ruribertos Taco Shop,California,7.75
151,Mr. Ruribertos Taco Shop,Carne Asada,7.75
152,Netos Mexican Food,California,5.99
153,Netos Mexican Food,Carne Adobada,5.5
154,Nico's Taco Shop,California,7.19
155,Nico's Taco Shop,Carnitas,6.99
156,Ortiz's Taco Shop #2,California,6.39
157,Ortiz's Taco Shop #2,California - Chicken,6.39
158,Oscar's Mexican food,California,5.45
159,Oscar's Mexican food,Carne Asada,5.25
160,Oscar's Mexican food,Carnitas,4.85
161,Papa Chito's Mexican Food,California,6.25
162,Pedro's Tacos,California,6.5
163,Pokirrito,Mauna Lani,11.95
164,Pokirrito,Pokirrito Classic,11.95
165,Pollos Maria,California,6.59
166,Pollos Maria,Carne Asada,6.49
167,Pollos Maria,Combo Chicken,6.99
168,Porkyland,California,8.75
169,Porkyland,Chicken Nopalito,7.95
170,Porkyland,Deborah'S Special,8.25
171,"Qdoba Mexican Grill, Seatac Airport",Custom,9.5
172,Raul's Mexican food,Chile Verde Pork,5.0
173,Raul's Mexican food,Carne Asada,5.0
174,Rigoberto's Taco Shop,Adobada,6.6
175,Rigoberto's Taco Shop,Al Pastor,6.6
176,Rigoberto's Taco Shop,Bacon Breakfast,6.25
177,Rigoberto's Taco Shop,Bacon Breakfast,6.3
178,Rigoberto's Taco Shop,California,6.85
179,Rigoberto's Taco Shop,Campeon,7.65
180,Rigoberto's Taco Shop,Carne Asada,6.6
181,Rigoberto's Taco Shop,Carnitas,6.6
182,Rigoberto's Taco Shop,Chile Relleno,6.6
183,Rigoberto's Taco Shop,El Rusio,6.65
184,Rigoberto's Taco Shop,Fish,6.0
185,Rigoberto's Taco Shop,Surf & Turf,7.45
186,Rigoberto's Taco Shop La Jolla,California,6.85
187,Roberto's Taco Shop Clairemont,California,5.79
188,Roberto's Taco Shop Clairemont,California + Guac + Sour Cream,7.29
189,Roberto's Taco Shop Clairemont,Carne Asada,5.69
190,Roberto's Taco Shop Hillcrest,Asada,7.0
191,Roberto's Taco Shop Hillcrest,California,7.0
192,Roberto's Taco Shop Hillcrest,California Surf And Turf,9.0
193,Roberto's Taco Shop Hillcrest,Golden State,25.0
194,Roberto's Very Mexican Food,Carnitas,5.4
195,Roberto's Very Mexican Food,Chicken Asada,6.5
196,Rubios UCSD,Grilled Fish Salmon,8.99
197,Rubios UCSD,Tilapia One,7.99
198,Rudy's Taco Shop,Carnitas,6.6
199,Rudy's Taco Shop,Chicken,6.6
200,Saguaro's ,Vegetarian,5.25
201,Senor Grubby's,California,9.0
202,Senor Grubby's,Pastor,9.0
203,Senor Panchos,California,6.25
204,Senor Panchos,Pollo Asado,6.25
205,Sotos Mexican Food,California,6.75
206,Sotos Mexican Food,Pastor,5.99
207,Storehouse Kitchen,Breakfast,4.99
208,Taco Stand,Al Pastor,6.99
209,Taco Stand,California,7.49
210,Taco Stand,Surf And Turf,8.49
211,Taco Stand Encinitas,California,7.89
212,Taco Surf PB,California,7.14
213,Taco Surf PB,Carne Asada,6.02
214,Taco Villa,California,6.99
215,Taco Villa,Al Pastor,6.99
216,Taco Villa,Bean & Cheese,3.99
217,Taco Villa,Breakfast,4.99
218,Taco Villa,California,6.99
219,Taco Villa,Carne Asada,6.99
220,Taco Villa,Carnitas,5.99
221,Taco Villa,Chicken,4.99
222,Taco Villa,Chicken And Rice,4.95
223,Taco Villa,Pollo Asado,5.99
224,Taco Villa,Shrimp With Guac,7.49
225,Taco Villa,Tejano,6.99
226,Taco stand,Al Pastor,6.99
227,Taco stand,California,7.49
228,Taco stand,Carne Asada,7.89
229,Taco stand,Shrimp,8.95
230,Tacos La Bala,Barbacoa,4.99
231,Tacos La Bala,Pastor,4.99
232,Tacos por favor,Al Pastor,6.85
233,Tacos por favor,Carne Asada,6.85
234,Tony's Fresh Mexican Food,California,6.25
235,Tony's Fresh Mexican Food,Chile Verde Pork,6.95
236,Tony's Fresh Mexican Food,Battered Fish,6.99
237,Valentines Mexican Food,California,7.9
238,Valentines Mexican Food,California Chipotle,7.9
239,Valentines Mexican Food,Carne Asada,6.75
240,Valentines Mexican Food,Pork California,7.9
241,Vallarta express,California,6.95
242,Vallarta express,Carne Asada,6.5
243,Vallarta express,Fish,6.5
244,Vallarta express,Mahi,7.3
245,Vallarta express,Philly,6.95
246,Vallarta express,Quesa,6.95
247,Vallarta express,Quesaburro,6.95
248,Vallarta express,Surf And Turf,7.65
