family,father,mother,child,children,order,sex
1,78.5,67.0,73.2,4,1,male
1,78.5,67.0,69.2,4,2,female
1,78.5,67.0,69.0,4,3,female
1,78.5,67.0,69.0,4,4,female
2,75.5,66.5,73.5,4,1,male
2,75.5,66.5,72.5,4,2,male
2,75.5,66.5,65.5,4,3,female
2,75.5,66.5,65.5,4,4,female
3,75.0,64.0,71.0,2,1,male
3,75.0,64.0,68.0,2,2,female
4,75.0,64.0,70.5,5,1,male
4,75.0,64.0,68.5,5,2,male
4,75.0,64.0,67.0,5,3,female
4,75.0,64.0,64.5,5,4,female
4,75.0,64.0,63.0,5,5,female
5,75.0,58.5,72.0,6,1,male
5,75.0,58.5,69.0,6,2,male
5,75.0,58.5,68.0,6,3,male
5,75.0,58.5,66.5,6,4,female
5,75.0,58.5,62.5,6,5,female
5,75.0,58.5,62.5,6,6,female
6,74.0,68.0,69.5,1,1,female
7,74.0,68.0,76.5,6,1,male
7,74.0,68.0,74.0,6,2,male
7,74.0,68.0,73.0,6,3,male
7,74.0,68.0,73.0,6,4,male
7,74.0,68.0,70.5,6,5,female
7,74.0,68.0,64.0,6,6,female
8,74.0,66.5,70.5,3,1,female
8,74.0,66.5,68.0,3,2,female
8,74.0,66.5,66.0,3,3,female
9,74.5,66.0,66.0,1,1,female
10,74.0,65.5,65.5,1,1,female
11,74.0,62.0,74.0,8,1,male
11,74.0,62.0,70.0,8,2,male
11,74.0,62.0,68.0,8,3,female
11,74.0,62.0,67.0,8,4,female
11,74.0,62.0,67.0,8,5,female
11,74.0,62.0,66.0,8,6,female
11,74.0,62.0,63.5,8,7,female
11,74.0,62.0,63.0,8,8,female
12,74.0,61.0,65.0,1,1,female
13,73.0,67.0,71.0,2,1,male
13,73.0,67.0,62.0,2,2,female
14,73.0,67.0,68.0,2,1,male
14,73.0,67.0,67.0,2,2,male
15,73.0,66.5,71.0,3,1,male
15,73.0,66.5,70.5,3,2,male
15,73.0,66.5,66.7,3,3,female
16,73.0,65.0,72.0,9,1,male
16,73.0,65.0,70.5,9,2,male
16,73.0,65.0,70.2,9,3,male
16,73.0,65.0,70.2,9,4,male
16,73.0,65.0,69.2,9,5,male
16,73.0,65.0,68.7,9,6,female
16,73.0,65.0,66.5,9,7,female
16,73.0,65.0,64.5,9,8,female
16,73.0,65.0,63.5,9,9,female
17,73.0,64.5,74.0,6,1,male
17,73.0,64.5,73.0,6,2,male
17,73.0,64.5,71.5,6,3,male
17,73.0,64.5,62.5,6,4,male
17,73.0,64.5,66.5,6,5,female
17,73.0,64.5,62.3,6,6,female
18,73.0,64.0,66.0,3,1,female
18,73.0,64.0,64.5,3,2,female
18,73.0,64.0,64.0,3,3,female
19,73.2,63.0,62.7,1,1,female
20,72.7,69.0,73.2,8,1,male
20,72.7,69.0,73.0,8,2,male
20,72.7,69.0,72.7,8,3,male
20,72.7,69.0,70.0,8,4,female
20,72.7,69.0,69.0,8,5,female
20,72.7,69.0,68.5,8,6,female
20,72.7,69.0,68.0,8,7,female
20,72.7,69.0,66.0,8,8,female
21,72.0,68.0,73.0,3,1,male
21,72.0,68.0,68.5,3,2,female
21,72.0,68.0,68.0,3,3,female
22,72.0,67.0,73.0,3,1,male
22,72.0,67.0,71.0,3,2,male
22,72.0,67.0,67.0,3,3,female
23,72.0,65.0,74.2,7,1,male
23,72.0,65.0,70.5,7,2,male
23,72.0,65.0,69.5,7,3,male
23,72.0,65.0,66.0,7,4,female
23,72.0,65.0,65.5,7,5,female
23,72.0,65.0,65.0,7,6,female
23,72.0,65.0,65.0,7,7,female
24,72.0,65.5,65.5,1,1,female
25,72.0,64.0,66.0,2,1,female
25,72.0,64.0,63.0,2,2,female
26,72.0,63.0,70.5,5,1,male
26,72.0,63.0,70.5,5,2,male
26,72.0,63.0,69.0,5,3,male
26,72.0,63.0,65.0,5,4,female
26,72.0,63.0,63.0,5,5,female
27,72.0,63.0,69.0,3,1,male
27,72.0,63.0,67.0,3,2,male
27,72.0,63.0,63.0,3,3,female
28,72.0,63.0,73.0,6,1,male
28,72.0,63.0,67.0,6,2,male
28,72.0,63.0,70.5,6,3,female
28,72.0,63.0,70.0,6,4,female
28,72.0,63.0,66.5,6,5,female
28,72.0,63.0,63.0,6,6,female
29,72.5,63.5,67.5,3,1,female
29,72.5,63.5,67.2,3,2,female
29,72.5,63.5,66.7,3,3,female
30,72.0,62.0,64.0,1,1,female
31,72.5,62.0,71.0,6,1,male
31,72.5,62.0,70.0,6,2,male
31,72.5,62.0,70.0,6,3,male
31,72.5,62.0,66.0,6,4,female
31,72.5,62.0,65.0,6,5,female
31,72.5,62.0,65.0,6,6,female
32,72.0,62.0,74.0,5,1,male
32,72.0,62.0,72.0,5,2,male
32,72.0,62.0,69.0,5,3,male
32,72.0,62.0,67.5,5,4,female
32,72.0,62.0,63.5,5,5,female
33,72.0,62.0,72.0,5,1,male
33,72.0,62.0,71.5,5,2,male
33,72.0,62.0,71.5,5,3,male
33,72.0,62.0,70.0,5,4,male
33,72.0,62.0,68.0,5,5,female
34,72.0,61.0,65.7,1,1,female
35,71.0,69.0,78.0,5,1,male
35,71.0,69.0,74.0,5,2,male
35,71.0,69.0,73.0,5,3,male
35,71.0,69.0,72.0,5,4,male
35,71.0,69.0,67.0,5,5,female
36,71.0,67.0,73.2,4,1,male
36,71.0,67.0,73.0,4,2,male
36,71.0,67.0,69.0,4,3,male
36,71.0,67.0,67.0,4,4,female
37,71.0,66.0,70.0,4,1,male
37,71.0,66.0,67.0,4,2,female
37,71.0,66.0,67.0,4,3,female
37,71.0,66.0,66.5,4,4,female
38,71.0,66.0,70.0,6,1,male
38,71.0,66.0,69.0,6,2,male
38,71.0,66.0,68.5,6,3,male
38,71.0,66.0,66.0,6,4,female
38,71.0,66.0,64.5,6,5,female
38,71.0,66.0,63.0,6,6,female
39,71.0,66.0,71.0,2,1,male
39,71.0,66.0,67.0,2,2,female
40,71.0,66.0,76.0,5,1,male
40,71.0,66.0,72.0,5,2,male
40,71.0,66.0,71.0,5,3,male
40,71.0,66.0,66.0,5,4,male
40,71.0,66.0,66.0,5,5,female
41,71.7,65.5,70.5,1,1,male
42,71.0,65.5,72.0,6,1,male
42,71.0,65.5,72.0,6,2,male
42,71.0,65.5,71.0,6,3,male
42,71.0,65.5,69.0,6,4,male
42,71.0,65.5,66.0,6,5,female
42,71.0,65.5,65.0,6,6,female
43,71.5,65.5,73.0,2,1,male
43,71.5,65.5,65.2,2,2,female
44,71.5,65.0,68.5,2,1,male
44,71.5,65.0,67.7,2,2,male
45,71.0,65.0,68.0,3,1,male
45,71.0,65.0,68.0,3,2,male
45,71.0,65.0,62.0,3,3,female
46,71.0,64.0,68.0,8,1,female
46,71.0,64.0,68.0,8,2,female
46,71.0,64.0,67.5,8,3,female
46,71.0,64.0,66.5,8,4,female
46,71.0,64.0,66.5,8,5,female
46,71.0,64.0,66.0,8,6,female
46,71.0,64.0,65.5,8,7,female
46,71.0,64.0,65.0,8,8,female
47,71.7,64.5,72.0,4,1,male
47,71.7,64.5,71.0,4,2,male
47,71.7,64.5,70.5,4,3,male
47,71.7,64.5,67.0,4,4,female
48,71.0,64.0,68.0,3,1,male
48,71.0,64.0,68.0,3,2,male
48,71.0,64.0,68.0,3,3,male
49,71.5,64.5,72.0,7,1,male
49,71.5,64.5,71.0,7,2,male
49,71.5,64.5,70.0,7,3,male
49,71.5,64.5,66.0,7,4,female
49,71.5,64.5,64.5,7,5,female
49,71.5,64.5,64.5,7,6,female
49,71.5,64.5,62.0,7,7,female
50,71.0,64.5,73.0,2,1,male
50,71.0,64.5,62.0,2,2,female
51,71.2,63.0,67.5,2,1,female
51,71.2,63.0,64.5,2,2,female
52,71.0,63.5,71.0,5,1,male
52,71.0,63.5,67.0,5,2,male
52,71.0,63.5,66.0,5,3,female
52,71.0,63.5,65.0,5,4,female
52,71.0,63.5,63.5,5,5,female
53,71.0,63.0,71.0,9,1,male
53,71.0,63.0,70.0,9,2,male
53,71.0,63.0,70.0,9,3,male
53,71.0,63.0,64.0,9,4,male
53,71.0,63.0,65.0,9,5,female
53,71.0,63.0,65.0,9,6,female
53,71.0,63.0,64.0,9,7,female
53,71.0,63.0,63.0,9,8,female
53,71.0,63.0,63.0,9,9,female
54,71.0,63.0,71.0,4,1,male
54,71.0,63.0,71.0,4,2,male
54,71.0,63.0,70.0,4,3,male
54,71.0,63.0,63.5,4,4,female
55,71.0,62.0,71.0,5,1,male
55,71.0,62.0,70.0,5,2,male
55,71.0,62.0,64.5,5,3,female
55,71.0,62.0,62.5,5,4,female
55,71.0,62.0,61.5,5,5,female
56,71.0,62.0,72.0,5,1,male
56,71.0,62.0,70.5,5,2,male
56,71.0,62.0,70.5,5,3,male
56,71.0,62.0,64.5,5,4,female
56,71.0,62.0,60.0,5,5,female
57,71.0,62.5,70.0,5,1,male
57,71.0,62.5,64.0,5,2,female
57,71.0,62.5,64.0,5,3,female
57,71.0,62.5,64.0,5,4,female
57,71.0,62.5,62.5,5,5,female
58,71.0,62.0,70.5,7,1,male
58,71.0,62.0,70.0,7,2,male
58,71.0,62.0,69.0,7,3,male
58,71.0,62.0,69.0,7,4,male
58,71.0,62.0,66.0,7,5,male
58,71.0,62.0,64.5,7,6,female
58,71.0,62.0,64.0,7,7,female
59,71.0,61.0,62.0,1,1,female
60,71.0,58.0,71.5,2,1,male
60,71.0,58.0,69.0,2,2,male
61,70.0,69.0,71.0,4,1,male
61,70.0,69.0,70.0,4,2,male
61,70.0,69.0,69.0,4,3,male
61,70.0,69.0,69.0,4,4,female
62,70.0,69.0,70.0,6,1,male
62,70.0,69.0,68.7,6,2,male
62,70.0,69.0,68.0,6,3,female
62,70.0,69.0,66.0,6,4,female
62,70.0,69.0,64.0,6,5,female
62,70.0,69.0,62.0,6,6,female
63,70.0,68.0,75.0,1,1,male
64,70.0,67.0,70.0,5,1,male
64,70.0,67.0,69.0,5,2,male
64,70.0,67.0,66.0,5,3,female
64,70.0,67.0,64.0,5,4,female
64,70.0,67.0,60.0,5,5,female
65,70.0,67.0,67.5,1,1,female
66,70.0,66.5,73.0,11,1,male
66,70.0,66.5,72.0,11,2,male
66,70.0,66.5,72.0,11,3,male
66,70.0,66.5,66.5,11,4,male
66,70.0,66.5,69.2,11,5,female
66,70.0,66.5,67.2,11,6,female
66,70.0,66.5,66.5,11,7,female
66,70.0,66.5,66.0,11,8,female
66,70.0,66.5,66.0,11,9,female
66,70.0,66.5,64.2,11,10,female
66,70.0,66.5,63.7,11,11,female
67,70.5,65.0,72.0,4,1,male
67,70.5,65.0,70.2,4,2,male
67,70.5,65.0,69.0,4,3,male
67,70.5,65.0,68.5,4,4,male
68,70.5,65.0,68.0,5,1,female
68,70.5,65.0,65.0,5,2,female
68,70.5,65.0,61.5,5,3,female
68,70.5,65.0,61.0,5,4,female
68,70.5,65.0,61.0,5,5,female
69,70.0,65.0,73.0,8,1,male
69,70.0,65.0,72.0,8,2,male
69,70.0,65.0,70.5,8,3,male
69,70.0,65.0,65.0,8,4,male
69,70.0,65.0,65.0,8,5,male
69,70.0,65.0,64.5,8,6,female
69,70.0,65.0,63.0,8,7,female
69,70.0,65.0,62.0,8,8,female
70,70.0,65.0,67.0,5,1,male
70,70.0,65.0,65.0,5,2,male
70,70.0,65.0,64.5,5,3,female
70,70.0,65.0,62.5,5,4,female
70,70.0,65.0,62.5,5,5,female
71,70.0,65.0,70.0,6,1,male
71,70.0,65.0,70.0,6,2,male
71,70.0,65.0,67.0,6,3,female
71,70.0,65.0,65.0,6,4,female
71,70.0,65.0,65.0,6,5,female
71,70.0,65.0,63.0,6,6,female
72,70.0,65.0,79.0,7,1,male
72,70.0,65.0,75.0,7,2,male
72,70.0,65.0,71.0,7,3,male
72,70.0,65.0,69.0,7,4,female
72,70.0,65.0,67.0,7,5,female
72,70.0,65.0,65.7,7,6,female
72,70.0,65.0,62.0,7,7,female
73,70.0,65.0,73.0,3,1,male
73,70.0,65.0,72.5,3,2,male
73,70.0,65.0,65.0,3,3,female
74,70.0,65.0,69.0,2,1,male
74,70.0,65.0,69.0,2,2,male
75,70.0,64.7,72.0,7,1,male
75,70.0,64.7,70.0,7,2,male
75,70.0,64.7,68.7,7,3,male
75,70.0,64.7,66.5,7,4,female
75,70.0,64.7,65.5,7,5,female
75,70.0,64.7,64.7,7,6,female
75,70.0,64.7,64.5,7,7,female
76,70.0,64.0,70.7,7,1,male
76,70.0,64.0,70.0,7,2,male
76,70.0,64.0,68.0,7,3,male
76,70.0,64.0,67.0,7,4,male
76,70.0,64.0,66.0,7,5,male
76,70.0,64.0,65.0,7,6,male
76,70.0,64.0,67.0,7,7,female
77,70.0,64.0,70.0,4,1,male
77,70.0,64.0,68.0,4,2,male
77,70.0,64.0,66.7,4,3,male
77,70.0,64.0,65.5,4,4,female
78,70.0,64.2,72.0,5,1,male
78,70.0,64.2,70.0,5,2,male
78,70.0,64.2,62.5,5,3,female
78,70.0,64.2,61.2,5,4,female
78,70.0,64.2,60.1,5,5,female
79,70.5,64.0,74.0,8,1,male
79,70.5,64.0,69.5,8,2,male
79,70.5,64.0,69.0,8,3,male
79,70.5,64.0,68.0,8,4,male
79,70.5,64.0,68.0,8,5,male
79,70.5,64.0,68.0,8,6,male
79,70.5,64.0,65.5,8,7,female
79,70.5,64.0,65.0,8,8,female
80,70.5,64.5,60.0,1,1,female
81,70.0,64.0,68.0,4,1,male
81,70.0,64.0,65.0,4,2,female
81,70.0,64.0,64.0,4,3,female
81,70.0,64.0,62.0,4,4,female
82,70.0,64.0,71.0,9,1,male
82,70.0,64.0,70.0,9,2,male
82,70.0,64.0,70.0,9,3,male
82,70.0,64.0,70.0,9,4,male
82,70.0,64.0,69.5,9,5,male
82,70.0,64.0,68.5,9,6,male
82,70.0,64.0,69.0,9,7,female
82,70.0,64.0,65.0,9,8,female
82,70.0,64.0,64.0,9,9,female
83,70.0,63.7,70.0,8,1,male
83,70.0,63.7,67.0,8,2,male
83,70.0,63.7,65.5,8,3,male
83,70.0,63.7,63.7,8,4,female
83,70.0,63.7,63.2,8,5,female
83,70.0,63.7,62.5,8,6,female
83,70.0,63.7,62.2,8,7,female
83,70.0,63.7,61.0,8,8,female
84,70.5,63.0,70.0,4,1,male
84,70.5,63.0,68.5,4,2,male
84,70.5,63.0,65.5,4,3,female
84,70.5,63.0,63.5,4,4,female
85,70.5,63.0,72.5,5,1,male
85,70.5,63.0,69.0,5,2,male
85,70.5,63.0,67.0,5,3,male
85,70.5,63.0,64.5,5,4,female
85,70.5,63.0,64.0,5,5,female
86,70.0,63.5,71.0,4,1,male
86,70.0,63.5,67.5,4,2,male
86,70.0,63.5,67.5,4,3,female
86,70.0,63.5,63.5,4,4,female
87,70.0,63.0,68.0,4,1,male
87,70.0,63.0,67.0,4,2,male
87,70.0,63.0,63.7,4,3,female
87,70.0,63.0,62.0,4,4,female
88,70.0,63.0,70.0,4,1,male
88,70.0,63.0,66.5,4,2,male
88,70.0,63.0,62.0,4,3,female
88,70.0,63.0,61.0,4,4,female
89,70.5,62.0,72.0,8,1,male
89,70.5,62.0,70.0,8,2,male
89,70.5,62.0,69.5,8,3,male
89,70.5,62.0,69.5,8,4,male
89,70.5,62.0,68.0,8,5,male
89,70.5,62.0,65.0,8,6,female
89,70.5,62.0,64.0,8,7,female
89,70.5,62.0,63.0,8,8,female
90,70.3,62.7,70.7,7,1,male
90,70.3,62.7,69.7,7,2,male
90,70.3,62.7,69.2,7,3,male
90,70.3,62.7,65.2,7,4,male
90,70.3,62.7,64.0,7,5,female
90,70.3,62.7,63.5,7,6,female
90,70.3,62.7,63.2,7,7,female
91,70.5,62.0,72.0,3,1,male
91,70.5,62.0,72.0,3,2,male
91,70.5,62.0,60.0,3,3,female
92,70.0,61.0,71.2,2,1,male
92,70.0,61.0,67.0,2,2,male
93,70.0,60.0,67.0,4,1,male
93,70.0,60.0,64.5,4,2,male
93,70.0,60.0,65.0,4,3,female
93,70.0,60.0,63.0,4,4,female
94,70.0,60.0,65.0,2,1,female
94,70.0,60.0,65.0,2,2,female
95,70.0,58.5,71.5,3,1,male
95,70.0,58.5,64.5,3,2,male
95,70.0,58.5,63.0,3,3,female
96,70.0,58.0,72.0,5,1,male
96,70.0,58.0,66.0,5,2,male
96,70.0,58.0,66.0,5,3,female
96,70.0,58.0,65.0,5,4,female
96,70.0,58.0,63.0,5,5,female
97,69.0,68.5,75.0,10,1,male
97,69.0,68.5,71.0,10,2,male
97,69.0,68.5,70.0,10,3,male
97,69.0,68.5,66.0,10,4,female
97,69.0,68.5,66.0,10,5,female
97,69.0,68.5,65.5,10,6,female
97,69.0,68.5,65.0,10,7,female
97,69.0,68.5,65.0,10,8,female
97,69.0,68.5,64.0,10,9,female
97,69.0,68.5,64.0,10,10,female
98,69.0,67.0,64.0,1,1,female
99,69.0,66.0,73.0,8,1,male
99,69.0,66.0,72.0,8,2,male
99,69.0,66.0,71.7,8,3,male
99,69.0,66.0,71.5,8,4,male
99,69.0,66.0,65.5,8,5,female
99,69.0,66.0,65.0,8,6,female
99,69.0,66.0,62.7,8,7,female
99,69.0,66.0,62.5,8,8,female
100,69.0,66.0,71.2,3,1,male
100,69.0,66.0,71.0,3,2,male
100,69.0,66.0,70.0,3,3,male
101,69.0,66.7,75.0,4,1,male
101,69.0,66.7,74.0,4,2,male
101,69.0,66.7,72.0,4,3,male
101,69.0,66.7,68.5,4,4,male
102,69.0,66.0,70.0,6,1,male
102,69.0,66.0,68.5,6,2,male
102,69.0,66.0,68.0,6,3,male
102,69.0,66.0,65.0,6,4,female
102,69.0,66.0,63.0,6,5,female
102,69.0,66.0,62.5,6,6,female
103,69.0,66.5,73.0,7,1,male
103,69.0,66.5,71.0,7,2,male
103,69.0,66.5,70.5,7,3,male
103,69.0,66.5,70.5,7,4,male
103,69.0,66.5,67.0,7,5,male
103,69.0,66.5,66.0,7,6,male
103,69.0,66.5,61.0,7,7,female
104,69.5,66.5,70.5,4,1,male
104,69.5,66.5,67.5,4,2,male
104,69.5,66.5,64.5,4,3,female
104,69.5,66.5,64.0,4,4,female
105,69.0,66.5,71.0,6,1,male
105,69.0,66.5,68.5,6,2,female
105,69.0,66.5,67.5,6,3,female
105,69.0,66.5,66.0,6,4,female
105,69.0,66.5,63.0,6,5,female
105,69.0,66.5,63.0,6,6,female
106,69.5,66.0,71.0,7,1,male
106,69.5,66.0,71.0,7,2,male
106,69.5,66.0,70.5,7,3,male
106,69.5,66.0,70.5,7,4,male
106,69.5,66.0,66.5,7,5,female
106,69.5,66.0,65.5,7,6,female
106,69.5,66.0,64.5,7,7,female
107,69.0,66.0,73.0,9,1,male
107,69.0,66.0,72.0,9,2,male
107,69.0,66.0,69.0,9,3,male
107,69.0,66.0,69.0,9,4,male
107,69.0,66.0,66.5,9,5,female
107,69.0,66.0,65.5,9,6,female
107,69.0,66.0,65.5,9,7,female
