Midterm 1,Midterm 2,Mentored
28.0,20.0,False
28.5,35.0,False
23.5,13.5,False
24.5,22.5,True
28.5,35.5,True
22.5,28.0,True
24.0,22.5,False
29.0,36.0,True
19.5,20.0,False
19.5,20.0,True
29.0,29.5,False
23.5,16.0,True
33.5,40.5,False
23.0,31.5,True
25.0,35.0,True
35.0,46.0,False
23.0,30.0,True
27.0,31.5,False
31.0,43.5,False
20.0,14.0,False
26.0,34.5,True
34.5,49.0,False
36.5,49.5,False
15.5,11.5,True
21.0,17.0,False
22.0,20.5,False
25.0,27.0,True
30.0,33.0,True
38.0,46.0,False
29.5,42.5,True
28.0,27.25,True
18.5,15.5,True
29.5,41.0,False
33.0,34.5,False
28.0,21.0,True
17.0,23.0,False
32.5,42.5,False
28.0,22.0,False
29.5,48.0,False
29.0,31.5,False
30.0,14.5,True
36.5,42.5,False
32.0,37.5,True
22.5,31.0,False
30.0,33.5,False
32.0,43.5,False
28.0,38.0,False
27.5,33.0,True
28.0,35.0,False
23.5,32.5,False
28.0,35.5,False
25.0,24.0,False
27.0,42.5,True
23.5,25.0,False
34.5,37.5,False
30.5,25.0,False
28.5,24.5,False
33.0,36.0,False
27.5,31.0,True
32.0,47.0,False
9.5,8.5,True
32.0,31.5,True
29.5,33.0,True
30.0,38.5,True
18.5,6.0,False
34.5,47.0,False
31.0,41.0,False
27.5,35.5,False
31.5,45.0,True
35.0,30.0,False
36.0,22.0,False
23.5,21.75,False
28.0,29.0,False
26.5,24.0,False
25.5,26.5,True
22.0,18.5,True
35.5,37.5,False
30.0,32.0,False
29.5,27.5,False
24.5,25.5,True
24.5,24.5,True
28.0,33.0,False
39.0,37.0,False
26.5,22.0,False
34.0,46.5,False
34.0,45.5,True
37.5,38.0,False
14.0,10.5,False
33.0,38.0,True
32.5,27.5,True
24.0,31.5,True
17.5,9.5,True
35.0,42.5,False
26.0,35.0,True
36.0,34.5,False
36.0,43.0,True
31.0,39.5,False
39.5,47.5,False
36.5,45.0,False
30.0,30.0,False
31.5,46.0,False
14.0,14.0,False
34.5,48.5,False
31.5,44.5,False
31.0,45.5,True
18.0,14.0,False
31.0,33.0,False
27.0,35.0,True
30.5,36.5,False
31.0,37.0,False
31.5,43.5,True
29.5,39.5,False
34.0,39.0,True
27.5,30.0,False
29.0,37.0,False
13.0,9.0,False
15.0,13.0,False
23.5,18.5,False
36.0,36.0,False
33.5,37.0,False
12.0,9.0,False
15.0,16.5,True
19.5,21.5,False
29.0,33.0,True
17.0,5.5,False
34.0,42.0,False
35.5,36.5,False
29.5,27.5,False
13.0,22.5,True
24.5,28.0,True
23.0,24.5,True
31.0,35.0,True
33.5,33.0,False
37.5,42.5,False
19.5,24.5,True
26.5,23.5,False
38.0,45.0,False
30.5,36.5,False
23.5,17.5,True
23.5,26.5,True
27.0,23.5,True
31.0,30.0,True
28.0,30.0,True
22.5,23.0,False
13.5,9.5,True
28.5,31.5,False
34.5,46.0,False
26.0,37.0,True
19.0,25.5,True
31.0,44.0,False
24.5,21.0,True
26.5,24.0,False
10.0,5.5,False
24.5,28.0,False
36.0,42.5,False
33.5,39.0,False
23.5,19.0,False
25.0,21.0,False
27.5,40.0,False
30.5,43.5,False
30.5,34.0,False
28.0,21.5,False
30.0,22.0,True
13.0,9.5,True
29.5,35.0,True
31.5,40.5,False
31.5,47.5,False
16.5,6.0,False
40.0,43.5,False
26.0,34.5,False
32.0,44.0,False
32.5,34.5,False
26.5,30.5,False
33.0,30.0,False
31.5,36.5,False
30.0,41.0,False
24.5,18.5,False
22.5,34.0,True
34.5,45.5,False
29.5,36.0,False
34.0,36.5,True
25.5,21.5,True
37.5,43.5,False
23.5,35.5,False
28.0,30.0,False
30.5,37.5,False
24.5,30.0,True
15.5,12.0,False
37.5,47.0,False
15.5,12.5,False
21.0,16.0,False
35.0,37.0,False
31.5,32.0,False
24.0,36.0,True
31.0,30.5,True
25.0,23.5,False
17.0,25.5,False
28.5,30.0,True
27.5,40.5,True
33.5,40.0,True
33.5,35.5,True
15.5,12.0,True
32.0,40.5,False
24.5,23.5,False
27.5,26.0,False
12.0,23.5,True
34.0,47.5,False
39.0,42.0,False
18.5,16.5,False
25.5,33.0,False
39.0,46.0,False
28.0,31.75,True
22.5,35.5,True
38.5,47.5,False
29.5,25.0,False
20.5,28.5,False
26.0,26.0,True
34.5,42.0,False
22.5,26.0,True
38.5,42.0,False
29.5,38.5,False
26.0,22.5,False
30.0,37.5,True
30.5,34.0,False
37.5,35.5,False
40.0,48.0,False
40.0,48.5,False
31.5,42.5,False
34.0,38.5,False
39.5,36.0,False
13.0,12.5,False
36.5,44.0,True
35.5,42.5,False
24.5,13.0,False
37.0,41.0,False
24.0,20.0,False
30.0,42.0,False
32.5,42.5,False
15.0,13.0,False
25.5,36.0,False
22.5,26.0,True
27.5,35.0,False
18.0,34.5,False
30.0,15.0,False
25.0,25.5,False
21.5,10.0,False
38.5,47.0,False
23.5,28.0,True
26.0,21.5,False
38.0,48.5,False
28.5,42.0,False
30.5,22.0,False
7.0,2.0,True
25.0,25.5,True
19.5,14.0,False
29.0,34.0,True
37.5,31.0,False
25.0,21.0,True
34.5,38.5,False
21.0,33.0,True
24.0,33.0,False
26.0,27.0,False
29.0,47.0,False
25.0,29.5,False
20.5,26.5,False
31.0,18.5,False
38.0,41.5,False
22.5,5.0,False
24.0,17.0,False
27.0,26.5,False
31.0,23.0,False
28.0,21.0,False
32.5,37.0,True
22.0,24.0,False
39.0,41.5,False
34.0,40.5,False
28.0,21.0,True
26.0,42.0,False
37.0,43.0,False
34.0,47.5,True
31.0,35.5,True
21.0,21.0,True
33.5,50.0,False
27.0,27.5,False
24.0,37.0,True
28.5,32.5,False
28.0,20.25,True
32.0,37.5,False
25.5,29.0,True
26.0,21.0,True
27.0,18.0,False
14.5,1.5,False
23.0,36.5,False
20.5,26.5,True
32.5,17.5,True
33.5,28.0,True
38.0,45.5,False
32.5,33.0,False
21.0,13.5,True
21.5,31.0,True
27.5,22.5,False
35.0,39.0,False
32.5,31.0,False
35.0,40.0,False
25.5,21.0,True
17.5,21.0,True
39.5,46.5,False
29.5,42.0,True
33.5,45.0,False
28.5,23.0,True
37.5,43.0,True
28.0,28.5,True
16.5,7.5,False
21.0,22.5,True
27.5,42.0,True
35.5,39.5,False
38.5,44.0,False
30.0,42.5,False
33.5,30.0,False
27.5,17.5,False
22.0,14.0,False
36.5,39.0,False
27.0,41.0,True
21.0,32.0,True
26.0,39.5,False
34.5,44.5,False
31.0,22.0,False
23.5,24.0,False
29.0,31.0,False
22.5,13.5,False
33.5,34.0,False
18.5,21.5,True
29.0,26.0,False
33.5,30.0,True
24.0,19.5,False
28.5,27.25,True
37.5,36.5,False
38.0,49.0,False
21.5,17.5,True
40.0,49.0,False
33.5,41.0,True
34.5,33.0,False
28.0,33.0,True
29.0,21.5,False
32.0,29.5,False
13.0,12.5,True
28.0,25.0,True
29.5,35.5,False
21.0,30.5,False
25.5,36.5,False
32.0,24.5,False
25.0,23.0,True
20.5,12.0,False
33.0,39.5,False
38.0,43.5,False
30.0,36.5,False
30.0,36.5,True
24.0,32.0,False
35.0,42.0,False
39.0,48.0,False
24.5,32.0,False
37.0,40.5,True
24.0,29.0,False
31.5,34.0,False
22.0,19.5,True
36.5,41.5,False
26.0,27.0,False
26.5,37.5,False
24.5,26.0,False
30.5,35.0,False
27.5,35.5,True
28.5,33.5,False
23.5,23.0,False
26.5,28.5,True
15.0,7.5,True
33.0,28.5,False
25.0,23.5,True
37.5,49.5,False
24.0,27.5,True
17.0,5.0,True
26.0,18.5,False
37.0,40.0,False
36.5,26.5,False
27.5,38.5,True
32.5,45.0,False
26.0,40.5,True
25.5,30.0,False
21.5,25.0,False
38.0,43.5,True
32.5,48.0,True
25.0,24.5,False
23.5,17.5,False
29.0,31.0,True
30.5,33.5,False
26.5,32.5,False
22.5,37.0,False
28.0,30.0,False
32.0,48.0,False
28.0,39.0,True
29.5,34.5,False
36.5,43.0,True
28.0,29.5,False
26.5,38.5,False
28.5,24.0,True
37.5,41.5,False
26.5,21.5,True
30.0,31.5,True
34.5,42.0,False
27.0,28.0,False
25.0,18.0,False
26.5,21.5,True
32.5,43.5,True
22.5,16.5,False
27.5,30.0,True
30.5,39.0,True
29.0,17.5,False
25.0,28.5,False
30.0,43.0,True
29.5,34.0,False
9.5,12.5,True
19.5,18.0,False
19.0,15.0,False
29.5,47.5,False
33.5,33.5,False
22.0,40.0,False
27.0,38.0,True
28.0,43.5,False
31.5,41.5,False
30.5,42.0,False
28.5,21.0,True
29.5,31.5,False
38.0,41.5,False
10.0,8.5,False
20.0,23.5,True
33.5,46.0,False
29.0,29.5,False
33.0,48.0,True
30.5,37.0,False
26.0,15.5,True
23.5,34.0,False
32.0,28.5,False
37.0,38.5,False
36.0,46.5,False
17.0,17.5,False
26.0,36.5,False
25.0,23.0,True
35.5,31.0,False
34.5,43.5,False
40.0,48.0,False
31.5,34.0,False
23.0,17.0,True
32.5,23.0,False
28.0,37.5,False
32.0,32.25,True
40.0,43.0,False
19.5,11.0,False
35.0,47.5,False
36.0,41.0,False
29.5,33.0,True
31.0,39.0,True
33.5,45.0,True
28.5,15.0,False
40.0,45.5,False
31.0,39.0,True
33.5,39.0,False
27.0,36.5,False
36.0,39.5,False
30.5,40.0,True
25.5,24.5,False
32.0,38.0,False
18.0,12.5,True
15.0,14.5,True
37.5,49.5,False
36.5,36.5,False
29.0,39.5,False
16.5,8.5,False
23.5,19.5,False
30.0,27.5,False
24.75,24.5,True
23.5,31.0,False
35.0,47.5,False
32.5,44.0,False
28.0,23.25,False
27.5,24.5,False
30.0,28.5,True
35.0,43.5,True
26.5,23.5,False
28.5,40.5,True
37.5,46.5,False
35.5,39.5,True
28.5,18.5,False
29.5,41.0,True
23.0,17.0,False
34.5,34.0,True
32.0,41.0,False
16.0,4.25,False
24.5,35.5,True
26.0,38.5,False
23.5,25.5,True
39.0,40.0,False
34.5,41.5,False
29.5,36.0,False
27.5,28.0,False
31.5,37.0,False
17.0,17.5,False
25.5,11.0,False
38.5,44.5,False
33.5,37.5,False
30.5,25.0,False
25.5,28.0,False
23.5,25.0,False
31.5,48.5,False
27.5,19.0,False
34.5,48.5,False
29.0,27.0,False
18.5,18.0,True
30.5,37.0,False
27.5,33.5,False
32.0,41.0,True
23.5,22.0,False
31.0,36.0,True
29.0,33.0,False
19.5,7.0,False
30.5,37.5,True
24.0,24.0,True
36.5,39.5,False
27.0,27.5,False
40.0,49.0,False
22.5,23.0,True
39.5,36.0,False
37.5,49.5,False
17.5,26.5,False
19.5,14.0,False
24.5,19.5,True
35.5,46.0,True
30.0,41.0,False
21.5,26.5,True
25.0,23.5,False
23.0,33.0,True
34.5,29.5,False
29.0,24.5,True
17.5,11.5,True
27.5,33.5,False
18.5,19.5,True
37.0,48.0,False
31.5,28.0,True
35.0,42.0,True
37.5,47.0,False
26.5,22.0,False
31.0,33.0,False
22.5,21.0,False
37.0,45.5,False
30.0,42.0,False
33.5,34.0,False
30.5,19.0,True
37.5,43.5,False
18.5,12.5,False
34.5,42.5,False
36.0,45.0,False
40.0,46.0,False
23.5,17.0,True
25.0,32.0,True
26.0,27.5,False
17.0,8.5,True
30.5,28.5,True
28.0,41.0,True
31.5,42.5,True
16.5,13.5,False
21.5,22.5,True
16.0,17.0,True
17.5,13.0,False
32.5,33.5,False
39.0,46.0,False
23.0,28.0,True
30.0,34.0,False
39.5,34.0,True
19.0,26.5,True
27.5,35.0,False
38.0,44.0,False
32.0,39.5,False
33.0,34.0,False
25.0,25.5,False
39.0,48.0,False
21.5,23.0,True
38.0,39.0,False
20.5,6.75,False
23.0,38.0,False
19.5,20.0,True
33.5,42.5,False
39.0,44.0,False
39.0,37.5,False
26.5,25.5,False
29.5,38.5,False
20.5,8.0,False
17.5,11.5,False
29.0,44.0,True
36.0,33.5,False
20.0,15.5,False
34.0,35.5,False
22.0,28.0,True
34.0,43.0,False
36.0,44.0,True
29.0,43.0,True
31.5,37.0,False
17.0,27.5,False
12.5,33.5,False
31.0,26.5,False
23.5,24.5,False
37.0,39.5,False
24.0,22.5,False
27.0,37.0,False
27.0,32.5,False
11.5,9.0,False
19.5,16.0,True
33.5,47.5,False
24.5,21.0,True
32.5,45.5,False
36.5,45.0,False
32.0,40.5,True
12.0,12.5,False
10.5,19.0,True
14.0,21.0,False
37.5,36.5,False
38.0,45.5,False
27.5,36.5,True
36.5,46.5,False
28.0,23.5,False
36.0,44.0,False
32.0,38.0,False
34.0,48.5,False
33.0,41.5,True
22.0,23.5,True
25.0,17.0,False
30.0,37.0,False
18.0,21.5,True
27.5,34.0,False
33.5,35.5,False
38.5,49.0,False
29.5,21.0,False
20.5,17.5,False
12.5,10.0,False
32.0,34.0,False
28.5,26.0,True
26.0,34.0,False
34.5,43.0,False
37.5,47.0,False
26.0,18.0,True
17.5,8.5,False
26.5,37.5,True
28.5,40.0,True
23.5,25.5,True
26.0,21.0,True
23.0,23.0,True
28.0,40.0,False
29.0,39.0,False
27.0,16.5,True
29.0,32.0,False
20.5,12.5,True
33.5,47.5,False
30.5,38.0,False
32.5,41.0,False
31.5,41.0,True
31.5,42.5,False
20.5,16.5,False
34.0,46.0,False
24.0,29.5,True
18.5,20.0,True
23.5,17.0,True
32.5,33.0,False
22.0,27.0,True
36.0,43.5,False
26.5,13.5,True
28.5,25.0,False
28.5,24.5,False
20.5,23.0,True
34.0,40.0,True
22.5,22.75,False
30.0,39.5,True
36.0,37.75,False
22.5,22.0,True
28.5,34.0,True
20.5,15.5,True
26.0,34.5,True
37.0,48.5,False
36.0,35.0,False
23.0,23.25,True
31.5,40.0,True
37.5,42.0,True
32.0,38.5,False
26.5,27.0,False
31.0,29.5,True
37.5,40.5,False
20.0,9.5,False
13.5,8.0,False
24.5,9.0,True
30.5,24.5,False
30.5,41.0,False
23.5,7.0,False
32.0,43.5,False
39.5,41.0,False
10.5,10.0,True
12.5,16.5,False
31.0,34.0,False
17.5,15.5,True
36.0,36.0,False
26.5,33.0,False
39.0,45.5,False
24.0,21.5,False
27.0,20.5,False
32.0,44.0,False
27.0,29.5,False
31.0,43.0,False
17.0,11.5,True
40.0,49.5,False
26.5,31.0,False
25.0,28.5,True
27.0,41.0,False
27.5,24.0,False
37.5,41.0,False
27.0,24.0,True
26.0,39.0,True
33.5,38.5,False
15.0,19.5,False
14.0,30.0,True
32.0,46.0,True
28.5,43.0,True
31.0,37.0,False
20.5,26.0,True
15.5,9.5,False
26.0,24.0,False
19.0,4.0,False
39.0,42.5,False
32.0,39.0,True
28.5,30.0,False
27.5,22.5,False
22.0,43.0,True
40.0,48.5,False
32.0,40.5,False
25.0,14.0,False
28.5,35.5,False
23.5,30.5,False
33.5,44.5,False
36.5,47.5,False
31.5,39.5,False
33.5,35.0,False
25.5,22.0,False
40.0,44.0,False
30.0,30.0,False
27.0,37.5,False
34.0,45.0,False
24.5,10.0,False
24.0,20.0,True
29.0,26.0,False
38.5,35.5,False
25.0,43.0,False
22.5,12.5,False
18.5,21.5,True
28.5,31.5,True
23.5,9.5,False
12.5,6.75,True
34.0,36.5,False
24.5,43.0,True
18.0,14.5,False
38.0,46.0,False
27.5,40.0,False
28.5,29.0,False
34.5,33.5,False
40.0,46.0,False
14.5,14.5,False
16.0,19.0,True
25.0,22.0,False
40.0,33.0,False
26.0,15.5,False
29.0,29.5,False
24.5,22.5,False
14.5,25.5,True
38.5,47.5,False
32.0,46.5,False
35.5,40.5,False
27.0,38.0,True
25.0,31.0,True
25.0,25.0,False
27.0,29.0,False
15.5,11.0,True
16.5,13.0,False
31.5,30.0,False
30.0,38.5,False
26.5,25.5,False
24.0,44.5,True
30.0,37.5,False
37.0,48.0,False
27.5,28.5,False
26.0,35.5,True
23.0,27.0,False
39.5,50.0,False
34.0,45.0,True
29.0,34.0,True
31.0,24.75,False
18.5,14.0,True
28.5,47.0,False
32.5,44.5,False
37.0,44.5,False
31.0,41.5,False
27.0,37.0,False
35.5,29.0,False
28.5,31.5,True
26.5,27.0,False
21.5,16.0,False
25.5,18.5,True
30.0,34.0,False
36.5,48.0,False
27.5,15.5,True
22.5,15.0,True
19.5,14.0,False
26.5,34.0,False
34.0,45.5,True
31.0,28.5,False
28.5,31.5,False
14.5,18.5,False
27.0,30.5,True
10.0,7.5,False
35.0,42.0,False
26.5,22.0,False
32.0,34.0,False
28.5,24.0,False
36.5,40.0,False
