Midterm 1,Midterm 2,Mentored
16.5,35.0,False
23.5,25.5,True
9.5,18.0,True
29.0,39.0,False
24.5,36.0,True
34.0,33.0,False
8.5,4.0,True
31.0,35.0,True
20.0,12.0,True
26.0,33.5,False
34.5,47.0,False
38.0,48.0,False
36.0,45.5,True
18.5,23.0,True
34.5,38.0,True
36.0,37.5,False
32.0,37.5,False
26.5,18.0,False
23.5,32.0,False
33.0,37.5,False
36.0,44.0,False
40.0,43.5,False
31.0,43.5,False
30.5,21.5,False
38.5,44.0,False
31.0,32.5,False
17.0,10.0,True
24.0,26.5,True
11.0,10.0,False
29.0,35.0,False
30.0,28.0,False
38.0,45.5,False
29.5,36.0,False
15.5,14.0,True
32.0,31.5,False
30.5,34.5,False
33.0,38.0,False
18.5,20.5,True
37.0,41.5,False
31.5,32.5,False
24.0,26.0,True
24.5,34.0,False
28.5,31.0,False
16.0,24.0,False
24.0,11.5,False
34.0,38.5,True
40.0,41.0,False
26.5,11.0,False
25.5,8.5,False
17.0,9.0,False
25.5,26.0,False
34.5,40.0,False
31.5,37.5,False
25.0,27.0,True
26.0,23.5,False
38.0,39.0,False
32.5,35.0,False
12.5,12.5,True
34.0,36.0,False
29.5,34.0,True
13.0,11.5,False
9.0,10.0,False
39.5,48.0,False
21.5,20.75,True
29.0,45.5,False
25.0,22.0,True
19.0,14.5,False
33.5,46.0,False
10.0,7.5,True
26.0,23.0,True
34.0,42.5,False
28.5,18.0,False
27.5,25.0,False
23.5,26.5,False
27.5,35.0,False
23.0,24.0,False
31.5,45.0,False
38.5,47.0,False
24.0,29.0,True
10.5,12.25,True
37.0,44.5,False
35.0,47.5,True
36.0,33.5,False
29.0,22.0,False
26.0,37.5,True
26.0,40.0,True
24.0,33.0,True
18.0,14.5,True
34.5,29.0,False
36.0,43.5,False
33.0,31.0,False
22.0,34.5,True
32.0,31.0,True
19.0,22.5,True
24.0,34.5,True
27.0,28.0,True
21.0,24.0,True
15.0,15.5,True
32.0,37.0,False
27.5,36.0,True
29.0,35.5,False
30.5,34.0,True
20.0,18.5,True
28.5,41.0,False
19.5,20.0,True
30.5,41.0,False
25.5,21.5,False
31.5,49.5,False
32.0,34.5,True
26.0,32.5,True
12.5,7.5,False
39.0,48.5,False
29.0,40.5,False
31.5,31.0,False
23.5,29.0,True
34.0,40.5,False
19.0,14.5,False
27.5,44.0,False
33.5,44.0,True
26.0,33.0,True
27.0,15.0,False
28.0,34.0,True
35.5,42.5,False
30.5,25.5,False
36.5,41.5,False
35.5,36.0,False
22.5,12.5,False
24.0,18.5,False
27.0,30.5,True
37.0,40.5,False
21.5,19.5,False
38.0,44.5,False
28.5,20.0,False
26.0,30.0,False
10.0,17.0,True
25.5,29.5,False
22.0,33.5,True
37.0,41.5,False
24.0,22.0,False
23.5,26.5,True
32.0,34.5,False
21.0,23.5,True
36.0,44.0,False
40.0,43.0,False
29.0,28.0,False
18.5,30.0,True
36.5,36.0,False
18.5,20.5,True
12.0,3.5,False
25.5,19.0,False
29.5,40.0,False
31.0,40.5,True
32.0,42.5,True
29.0,26.0,True
30.0,37.5,False
15.5,6.0,False
30.0,34.5,True
30.0,46.0,True
33.5,27.5,False
22.0,25.0,True
29.5,42.5,False
37.0,42.5,False
20.0,11.5,True
13.0,10.5,False
26.5,32.5,False
17.5,9.0,True
39.0,40.0,False
33.0,44.5,False
33.5,38.5,False
32.0,21.5,False
30.5,36.5,True
25.5,25.5,True
37.5,49.0,False
31.5,46.5,False
33.0,47.0,False
30.0,21.5,True
18.5,25.0,True
27.0,26.5,True
29.0,30.0,True
24.5,26.0,True
28.0,32.5,False
27.0,30.5,False
28.5,42.0,False
29.0,40.0,False
26.5,43.0,False
31.0,37.0,False
35.0,45.5,False
31.5,44.0,False
26.0,37.5,False
28.5,33.5,False
19.5,18.0,False
22.0,7.0,False
18.0,19.5,True
7.5,10.5,True
25.5,41.5,True
39.0,41.5,False
38.0,47.5,False
37.0,43.5,False
36.5,44.0,False
17.5,18.0,True
15.0,12.5,False
31.5,39.0,False
25.5,35.0,False
19.5,10.5,False
37.5,42.0,False
38.0,43.0,False
26.5,30.5,False
20.0,22.0,True
28.0,17.5,False
10.5,13.5,False
30.5,32.0,False
32.0,40.5,False
39.0,35.0,False
30.5,34.5,False
24.0,38.0,False
35.5,39.0,False
27.5,26.0,True
27.0,29.0,False
24.0,22.5,True
21.0,20.0,True
30.0,38.0,False
26.5,39.5,False
30.0,35.5,False
35.0,40.5,False
21.5,18.5,False
22.5,19.5,False
23.5,19.0,False
23.5,22.0,False
25.5,23.5,False
10.0,15.5,False
40.0,45.0,False
11.0,1.0,False
29.5,38.75,True
33.5,28.0,False
17.5,13.5,False
33.0,42.0,True
24.0,25.5,False
38.0,50.0,True
30.5,34.0,False
35.5,23.0,False
23.0,31.0,True
26.0,33.0,True
10.0,7.5,False
29.5,42.0,True
35.0,31.5,False
18.0,1.0,False
32.5,42.5,False
20.0,17.5,True
21.0,20.5,False
32.0,37.0,True
16.5,8.5,False
21.5,38.5,False
31.0,35.5,True
32.5,28.5,False
37.0,47.0,False
39.5,47.0,False
7.5,7.5,True
13.0,9.0,False
29.0,35.5,False
40.0,45.0,False
32.5,45.0,False
28.0,35.0,True
26.0,32.0,True
40.0,41.0,False
29.0,31.5,False
29.5,28.5,False
22.0,16.0,False
24.5,25.5,False
35.0,35.0,False
23.5,19.5,True
31.0,38.0,False
28.0,37.5,False
25.5,34.0,False
40.0,50.0,False
27.5,20.0,False
34.5,36.0,False
20.0,21.5,True
35.0,47.0,False
26.0,30.5,True
32.0,48.5,False
15.0,12.0,False
30.0,31.0,True
31.5,34.0,False
15.0,22.5,False
36.0,36.0,False
21.5,38.5,True
20.5,16.5,False
36.5,37.0,False
26.5,40.0,False
35.5,38.0,False
33.0,42.0,False
20.5,13.0,False
31.0,28.0,False
34.0,46.0,False
27.0,26.5,False
23.5,18.0,False
18.0,7.0,True
16.0,15.0,False
31.5,45.5,False
37.0,44.0,True
27.5,32.0,False
23.5,17.0,False
29.0,33.0,False
26.5,34.0,True
34.0,34.0,False
29.0,18.5,True
31.5,33.5,False
24.5,19.5,False
28.5,37.5,False
39.0,46.0,False
36.0,49.0,False
14.0,11.5,True
38.0,47.5,False
10.0,6.0,False
26.0,17.5,False
24.0,11.5,True
39.0,44.5,False
19.0,18.0,False
29.0,25.0,True
33.5,37.0,True
39.0,49.0,False
30.0,33.0,False
36.0,39.5,False
37.0,46.0,False
27.5,44.0,True
27.5,35.5,False
32.5,38.0,False
33.5,36.0,False
26.5,21.0,False
30.0,32.5,False
29.5,13.0,False
33.5,38.0,True
26.5,42.0,False
22.5,17.0,True
24.0,18.0,False
34.0,31.5,False
36.0,48.0,False
16.5,25.5,True
34.0,37.0,False
25.5,22.0,False
36.0,47.5,False
21.5,38.0,True
22.5,17.0,False
32.5,29.0,False
9.5,22.0,False
27.5,41.0,False
21.5,20.0,True
17.0,13.5,False
32.0,35.0,False
31.5,35.0,False
27.5,39.5,False
14.0,9.5,True
40.0,45.0,False
31.0,24.5,False
31.0,33.75,False
40.0,45.75,False
34.5,42.0,False
37.5,47.5,False
28.0,24.0,False
30.0,22.5,False
28.5,29.5,False
34.0,39.5,False
36.0,44.0,False
27.0,40.0,True
31.5,48.0,False
18.0,17.0,True
32.0,43.0,False
28.0,30.5,True
37.5,40.5,False
26.5,25.5,False
32.0,35.0,True
13.0,10.5,True
28.0,22.5,False
14.5,21.5,True
8.0,4.5,False
38.0,45.5,False
32.5,41.0,False
26.0,30.0,False
25.5,25.5,True
7.0,10.5,False
27.5,28.0,False
39.5,47.5,False
25.0,12.0,False
30.5,26.5,False
37.0,48.0,False
26.5,18.5,True
34.5,39.5,False
32.0,35.0,True
30.0,23.5,True
24.5,23.5,False
9.5,3.5,False
32.0,16.0,True
22.0,21.0,False
33.0,39.5,False
37.5,44.5,False
32.0,42.0,False
27.0,26.0,True
26.5,36.0,False
25.0,20.5,False
31.0,36.5,False
24.0,27.5,True
26.0,33.5,False
39.0,47.5,False
31.0,29.0,False
24.0,25.25,False
16.5,6.0,False
18.5,11.5,False
39.5,49.0,True
31.5,42.0,False
28.5,21.0,True
35.5,34.0,False
34.0,38.5,True
34.5,43.0,False
16.5,13.5,False
31.0,38.0,True
37.5,37.0,False
35.0,45.0,False
34.0,35.5,False
31.5,35.0,False
39.0,44.0,False
33.5,30.5,False
16.5,17.0,True
30.0,31.5,False
25.0,24.0,False
30.0,44.5,False
26.5,29.0,False
16.5,14.5,False
37.0,45.0,False
24.5,28.0,False
29.5,29.0,False
30.0,39.5,False
23.5,35.0,True
27.5,32.0,False
26.0,22.0,True
27.0,28.0,False
37.0,42.75,False
39.5,43.5,False
11.5,9.0,False
18.5,8.0,False
23.5,27.75,False
30.5,26.5,False
39.5,47.0,False
23.0,20.5,True
24.5,18.5,True
28.5,23.0,False
40.0,50.0,False
28.0,36.5,True
27.0,33.5,False
34.0,44.5,False
33.0,27.0,True
10.5,4.5,False
24.5,11.0,False
29.0,27.0,True
21.5,17.5,True
33.0,44.5,True
32.0,39.0,False
40.0,43.5,False
22.5,26.0,True
33.5,49.0,False
26.0,24.0,False
33.0,48.5,True
31.0,32.5,True
27.0,30.0,False
27.5,23.0,True
17.5,11.0,False
12.5,28.0,False
25.5,32.0,True
14.0,36.0,True
24.5,47.5,False
31.5,32.5,False
38.0,43.5,False
20.0,11.5,True
31.5,35.0,False
39.5,47.0,False
28.5,36.5,False
39.0,45.0,False
32.0,36.5,True
17.0,8.0,False
26.5,32.0,False
13.5,7.5,True
38.0,44.0,False
33.0,23.5,False
38.5,46.0,True
34.5,45.0,False
26.0,39.0,False
18.0,15.5,False
34.0,37.0,False
40.0,48.0,False
28.0,36.5,True
30.5,39.0,False
39.0,44.5,False
29.0,45.5,False
6.0,6.0,False
36.0,41.5,True
31.5,45.0,False
15.5,3.5,False
27.0,21.0,False
20.5,1.5,True
28.0,36.0,False
30.0,30.5,True
27.5,44.5,True
29.5,42.5,False
25.0,21.25,True
21.5,14.25,True
34.0,40.0,False
33.5,38.0,True
25.0,32.5,False
29.0,34.5,True
35.0,42.5,False
38.0,44.5,False
28.0,33.25,False
27.0,23.0,True
6.5,11.0,False
22.5,28.0,False
22.5,24.0,True
29.5,43.5,False
37.0,43.5,False
27.5,15.5,False
22.5,12.25,False
20.0,32.0,False
25.0,35.5,False
38.0,48.5,False
22.5,26.5,True
23.0,24.5,True
33.0,45.0,True
28.0,40.5,False
23.5,35.0,True
37.0,39.0,False
34.5,43.5,False
30.0,23.0,True
38.0,42.5,False
36.0,41.0,False
27.5,13.0,False
31.5,24.5,True
36.0,36.0,False
23.0,32.5,True
24.5,21.5,True
25.5,16.0,False
37.0,33.0,False
7.5,6.0,True
21.0,19.0,True
29.5,32.0,False
24.5,25.0,False
34.5,44.5,False
32.0,48.5,True
32.0,42.0,False
29.0,35.5,False
25.0,33.0,False
36.5,35.0,False
30.0,31.0,False
38.5,43.5,False
31.0,40.5,False
28.5,28.5,False
40.0,49.0,False
39.5,46.5,False
23.0,18.5,False
31.0,48.5,False
25.0,27.0,True
20.0,24.0,True
35.5,45.5,False
36.5,39.0,False
25.0,32.0,False
29.0,35.5,False
30.0,33.5,False
33.0,40.0,False
26.0,28.5,False
24.5,29.5,True
21.0,19.0,True
29.5,39.5,False
32.0,38.0,False
26.0,26.5,False
28.5,35.25,True
27.0,23.25,True
11.0,32.5,True
30.0,27.0,False
30.5,41.5,False
28.0,28.0,False
39.5,46.0,False
24.0,20.0,False
20.5,12.0,True
25.5,27.5,True
38.0,48.5,False
30.0,41.5,False
32.0,22.0,False
28.0,21.0,False
27.0,16.0,False
26.0,22.5,False
39.5,50.0,False
31.0,37.5,False
38.5,36.0,False
25.5,27.0,False
23.0,17.5,False
30.5,22.5,False
30.0,42.0,True
32.5,41.5,False
15.0,7.5,False
28.0,14.5,False
31.0,27.5,False
19.0,26.0,False
34.0,36.5,False
21.0,33.5,False
33.0,33.5,False
18.0,15.0,True
39.0,38.0,False
20.0,14.0,False
40.0,47.0,False
28.0,29.0,False
31.0,38.0,False
31.5,29.0,True
29.0,41.5,True
29.5,41.5,False
34.0,41.0,True
22.5,20.0,False
26.0,22.25,False
31.5,37.0,True
10.0,9.5,True
29.5,24.0,False
29.0,29.0,False
31.0,46.0,False
30.0,47.0,True
29.5,42.5,False
30.0,38.5,False
13.5,15.0,False
28.5,17.5,False
20.5,11.0,True
24.0,25.0,True
35.0,34.0,False
12.0,14.5,False
26.0,41.0,True
40.0,40.5,False
26.0,37.0,False
29.5,32.5,False
12.5,10.0,True
40.0,49.5,False
33.0,33.5,False
24.5,32.0,False
29.5,25.0,False
31.0,38.5,False
25.0,22.0,False
36.0,44.0,False
26.0,31.25,False
11.5,8.5,True
34.0,43.5,False
22.0,17.5,True
23.0,32.0,True
31.5,32.5,False
35.5,37.5,False
18.5,26.0,False
12.0,13.5,True
34.0,26.5,False
11.5,5.5,False
35.0,45.0,False
39.0,46.0,False
29.5,30.0,False
28.5,31.0,True
24.0,27.5,True
27.5,29.5,True
38.0,47.0,False
31.0,36.5,False
8.0,9.5,False
37.0,40.0,False
20.5,26.0,False
28.5,34.5,True
26.0,21.5,True
20.0,9.0,False
26.0,30.0,False
33.0,43.0,False
37.5,46.5,False
36.0,44.5,True
27.5,49.5,True
40.0,47.0,False
31.5,30.0,True
40.0,49.0,False
22.5,25.5,False
20.0,19.0,True
26.5,15.5,False
37.0,45.5,False
26.0,27.0,False
28.0,34.5,False
40.0,49.5,False
24.5,19.0,False
32.5,49.0,True
36.5,41.5,False
20.0,36.0,True
16.0,10.5,False
24.5,19.5,True
35.5,40.0,False
31.0,39.5,False
39.5,47.5,False
31.5,34.0,False
22.5,15.5,True
18.0,11.5,False
39.0,50.0,False
25.0,35.5,True
38.0,46.0,False
34.0,48.5,False
32.0,37.0,False
19.0,15.75,True
40.0,50.0,False
38.5,43.5,False
30.0,43.5,True
27.5,24.5,False
26.0,33.0,True
30.5,34.5,True
29.0,35.5,False
29.0,23.0,False
26.0,22.0,True
24.0,34.5,True
30.0,24.5,False
23.0,14.0,False
25.5,33.0,True
30.0,32.0,True
31.5,44.5,False
24.0,24.0,True
19.5,18.5,True
16.5,14.5,True
34.0,39.5,False
18.5,10.0,False
37.0,42.5,True
33.0,32.0,False
28.0,23.5,False
38.0,50.0,False
24.5,22.75,True
28.0,44.5,False
28.0,16.5,False
27.5,36.0,False
36.0,50.0,False
27.5,41.5,True
30.5,34.5,False
30.5,38.5,False
34.5,39.5,False
30.5,24.5,True
31.5,28.75,True
31.0,40.5,False
24.0,24.5,True
12.5,9.5,False
32.0,45.0,False
27.5,33.0,False
39.5,44.5,False
24.5,27.0,False
37.0,47.5,False
29.0,36.0,True
28.0,33.5,True
25.0,24.5,True
34.0,35.0,False
34.5,36.0,False
34.0,24.5,False
23.5,21.0,False
33.0,32.0,False
32.0,42.0,False
29.5,26.0,True
33.5,35.0,False
29.0,38.0,False
33.0,32.0,False
23.5,25.5,False
23.0,36.5,True
35.0,35.0,False
34.0,48.0,False
30.0,35.0,False
33.0,21.5,False
19.5,14.0,True
24.0,20.0,True
28.5,18.5,False
29.0,25.5,True
16.5,8.5,False
30.0,48.5,True
39.0,44.0,False
38.0,42.5,False
23.5,9.0,True
22.0,20.5,False
27.5,38.0,False
23.5,17.5,True
15.5,26.5,False
30.5,39.5,False
27.0,29.5,False
39.0,43.0,False
33.0,24.5,False
20.0,13.5,True
24.0,26.5,False
24.5,24.0,True
37.0,49.0,False
34.5,43.5,False
39.0,45.5,False
32.5,46.0,False
36.0,40.5,False
37.5,40.5,False
26.0,21.0,False
28.0,34.0,True
26.5,26.5,False
33.0,32.5,True
27.5,41.0,False
30.5,43.5,True
28.0,23.5,True
29.0,27.5,True
26.5,28.0,True
9.5,11.5,False
21.0,16.5,False
27.5,24.5,False
32.5,35.0,False
29.0,12.5,False
20.5,11.5,False
23.5,21.0,False
19.5,11.25,False
23.0,28.5,False
31.5,34.5,False
40.0,40.0,False
21.5,25.5,False
28.0,29.5,True
38.0,42.0,False
33.0,30.0,True
28.0,28.5,False
28.0,25.5,False
33.0,48.5,True
32.5,42.0,False
30.5,18.0,False
36.5,41.0,True
28.5,24.0,False
35.0,38.5,False
29.5,40.5,False
30.5,30.5,False
40.0,47.5,False
32.0,38.0,True
37.5,45.0,False
23.0,24.0,True
21.0,10.5,False
36.0,48.0,False
21.5,34.0,False
30.5,30.0,True
40.0,48.0,False
